TIRAGE,UNIVERS,TOP10
1,102.047,97.603
2,98.2486,86.9401
3,102.8267,100.0413
4,85.4216,94.0674
5,98.6569,85.7595
6,94.8349,79.3077
7,102.173,97.6746
8,95.4444,88.471
9,91.355,90.9648
10,97.0144,87.2646
11,101.6252,94.2316
12,86.2156,95.4484
13,100.1656,87.5809
14,107.8004,81.568
15,105.3096,83.1177
16,83.1295,100.6813
17,108.8421,89.4963
18,90.6472,95.1455
19,96.8434,94.8874
20,101.0181,85.2983
21,107.2131,87.639
22,104.9614,87.1873
23,96.8742,93.111
24,99.6581,93.7661
25,94.5181,99.5375
26,84.2133,84.9154
27,90.9777,97.9059
28,106.0721,83.4358
29,86.594,84.8206
30,88.1249,88.8784
31,102.8076,86.2612
32,88.7532,97.9191
33,91.5404,79.9945
34,90.2188,97.3431
35,99.1468,92.7253
36,105.5273,94.7542
37,76.3933,90.3696
38,89.411,90.0849
39,101.8794,84.7131
40,87.2011,90.5771
41,101.964,92.9611
42,83.8306,84.5681
43,100.6381,88.5039
44,91.8685,90.2784
45,92.1507,84.4291
46,95.8118,93.1854
47,97.5385,90.6405
48,101.1813,80.3906
49,98.6015,87.2654
50,85.3807,84.3412
51,103.1807,77.5963
52,96.2018,89.6738
53,101.6619,82.1196
54,90.3426,82.9922
55,103.3606,94.5859
56,92.0899,85.926
57,112.23,102.0773
58,80.7976,96.1886
59,80.503,88.2278
60,104.6111,91.0531
61,100.3856,88.9168
62,101.448,86.5225
63,103.0666,83.1377
64,108.2796,77.5527
65,87.0584,91.5598
66,89.7715,96.7485
67,79.4978,94.4002
68,109.1198,83.9449
69,107.7545,91.7182
70,86.0937,86.6537
71,84.7411,79.2917
72,90.1401,84.6478
73,100.3923,97.4918
74,103.1915,94.4327
75,102.4253,97.1788
76,103.9625,100.4703
77,93.3353,79.3064
78,88.4166,82.1787
79,83.793,94.1601
80,89.9412,85.6054
81,97.4634,90.4609
82,100.5206,94.293
83,87.7721,92.5989
84,92.4403,83.386
85,97.6253,88.0456
86,87.5891,101.549
87,94.7222,86.1779
88,112.3316,85.9796
89,96.2301,92.4065
90,86.7144,99.2242
91,100.6888,85.6137
92,94.6985,95.6217
93,107.5931,100.126
94,84.6414,93.6122
95,105.9178,92.6593
96,96.8977,86.4861
97,101.9957,70.432
98,97.9841,90.8374
99,107.5458,85.0021
100,92.6936,80.8319
101,96.2603,95.265
102,95.6232,86.4406
103,103.1501,81.3621
104,97.9364,96.5505
105,106.5554,76.9158
106,97.489,102.484
107,86.4895,91.5059
108,87.1355,88.4326
109,82.8026,89.382
110,98.0088,90.0598
111,106.0737,94.2557
112,85.0387,84.5756
113,96.2149,86.3522
114,102.3806,91.8832
115,88.9842,94.4154
116,98.6022,93.8643
117,97.6049,94.3725
118,99.9723,89.1807
119,95.0438,95.1571
120,88.9058,79.8736
121,84.8365,90.5407
122,93.8435,81.3389
123,103.89,94.9457
124,94.3617,85.1487
125,86.8102,95.4789
126,97.5092,93.2575
127,82.0501,82.3513
128,86.7894,100.2522
129,91.1282,80.1358
130,104.7055,95.1786
131,91.9753,88.9874
132,100.9852,84.3802
133,98.0536,87.3035
134,98.7983,86.9504
135,101.9563,89.1533
136,103.8507,82.7613
137,89.0355,87.1623
138,93.8343,90.9392
139,87.5327,89.9219
140,91.6259,88.685
141,100.8393,80.9905
142,107.9627,95.4581
143,77.7413,102.6784
144,95.3997,84.0024
145,89.2397,100.3717
146,91.7275,95.6413
147,106.0412,93.2438
148,102.6781,86.8349
149,99.964,95.1924
150,95.1618,86.5552
151,94.756,96.4281
152,93.1571,90.5747
153,73.8746,93.9364
154,94.6636,95.2379
155,97.7991,93.0488
156,102.9874,90.973
157,84.6353,93.7721
158,106.5564,86.9345
159,97.3095,82.8221
160,107.6271,84.3302
161,103.6513,83.6419
162,95.5735,89.3244
163,95.648,99.58
164,100.2016,81.1039
165,100.7257,85.207
166,92.6439,95.0906
167,92.6583,89.082
168,103.796,95.7009
169,86.893,97.27
170,88.3566,96.7507
171,89.4071,86.3703
172,101.7055,96.1123
173,97.311,91.4883
174,95.3238,85.3697
175,98.4617,81.5994
176,105.5072,77.7349
177,90.2613,92.6675
178,103.042,93.9545
179,84.6287,91.4477
180,85.4585,92.5748
181,89.6839,89.8884
182,96.7836,90.4269
183,97.3791,89.522
184,94.7786,87.2754
185,91.7442,96.3399
186,95.7992,91.0479
187,97.773,103.5798
188,99.6707,92.3072
189,77.678,86.0006
190,94.0171,87.7192
191,94.49,87.621
192,95.9614,91.8119
193,101.5061,92.0071
194,97.48,89.7181
195,102.205,84.9312
196,95.1708,92.0384
197,94.2021,92.4071
198,91.7659,86.1375
199,97.5076,92.5947
200,97.7145,87.2332
201,98.643,92.9943
202,97.1371,89.1294
203,102.4814,84.6055
204,91.6984,89.9964
205,94.7911,88.1209
206,99.0401,95.4186
207,103.4657,93.6585
208,99.1597,86.006
209,87.4947,93.951
210,94.3393,83.408
211,95.3754,87.9402
212,95.1105,96.434
213,88.4926,85.0222
214,111.3,83.7855
215,89.0754,86.8963
216,96.2842,79.4958
217,102.3072,96.9715
218,94.2783,86.7532
219,87.477,83.5183
220,92.4653,92.0729
221,97.239,87.6533
222,102.3966,92.5682
223,93.478,94.2442
224,96.6471,89.8562
225,92.3813,86.8587
226,110.2568,105.0738
227,84.7722,92.416
228,83.7026,93.9406
229,86.8266,91.2466
230,95.0681,87.5918
231,97.7373,84.2522
232,85.2608,90.9902
233,109.7868,88.8734
234,93.3984,88.9099
235,112.245,88.6534
236,94.9871,95.7846
237,89.3676,93.3488
238,104.1288,87.9429
239,97.195,90.6345
240,95.2974,93.8495
241,103.6883,92.5433
242,86.809,104.2463
243,98.2556,84.5038
244,111.5493,99.2962
245,84.591,96.4343
246,99.1963,97.0641
247,97.8573,89.9085
248,101.0675,102.6174
249,84.8677,93.5052
250,87.9384,87.3093
251,100.3508,85.9717
252,99.6606,84.5818
253,92.7829,101.7182
254,90.48,98.4403
255,106.6009,87.8354
256,107.5818,78.4995
257,99.0732,87.6086
258,98.0568,90.0187
259,84.7016,94.4269
260,98.1089,89.2302
261,92.4037,92.2382
262,86.8183,83.6565
263,103.5179,96.7308
264,106.787,94.6085
265,85.6847,92.2624
266,86.5288,78.7365
267,101.4167,86.4476
268,83.8345,83.1727
269,101.4139,86.2114
270,96.0251,94.9827
271,94.544,80.4646
272,84.4675,97.826
273,92.1297,91.9065
274,95.4077,85.12
275,87.4842,87.4741
276,89.2217,88.1649
277,94.659,86.8734
278,72.2244,92.6441
279,83.7918,87.7952
280,107.9613,80.6841
281,99.4035,87.6804
282,111.649,84.7659
283,105.9746,100.2866
284,107.599,89.7995
285,94.7696,81.2852
286,94.6362,79.8041
287,92.7153,91.3111
288,85.1636,84.0817
289,103.8693,86.3992
290,114.405,84.7461
291,79.2098,82.8341
292,104.0742,96.6728
293,105.7957,80.8135
294,97.0976,88.2746
295,93.2183,93.1829
296,87.4508,88.0523
297,105.6969,86.0165
298,112.2401,93.9214
299,100.9021,84.7258
300,94.8311,90.7293
301,99.0571,81.1747
302,81.3161,85.8144
303,100.7868,86.8662
304,95.3387,92.7187
305,95.6198,77.7492
306,96.0496,81.983
307,93.7805,86.0973
308,96.7818,92.85
309,100.4022,88.197
310,100.2741,87.1322
311,85.323,78.247
312,96.2932,89.9735
313,88.9956,87.897
314,99.0907,97.3955
315,125.5717,87.5066
316,89.4787,90.0704
317,106.1003,96.1277
318,98.2617,83.3717
319,93.6184,87.1112
320,96.5584,87.2539
321,100.2055,83.9217
322,86.109,88.8013
