Date,INDICE,Open,High,Low,Close,Volume,Dividends,Stock Splits,E_20,VAR_20,CORR_20,VAL_20,T_20,P_20,TEND_20,E_120,VAR_120,CORR_120,VAL_120,T_120,P_120,TEND_120,CURR,BUY_120
2020-01-02 00:00:00+01:00,1,121.63354233365435,124.5142878715458,121.1197809382008,122.49593353271484,1254852,0.0,0.0,,,,,,,0,,,,,,,0,100.0,100.0
2020-01-03 00:00:00+01:00,2,121.26656965840871,122.9729995727539,120.93630644816375,122.9729995727539,830258,0.0,0.0,,,,,,,0,,,,,,,0,100.3894545935369,100.0
2020-01-06 00:00:00+01:00,3,121.72526765114904,122.77115697785696,120.8812291409338,122.44087982177734,719626,0.0,0.0,,,,,,,0,,,,,,,0,99.95505670323105,100.0
2020-01-07 00:00:00+01:00,4,122.93629524924539,123.28492504379459,120.93629358334213,121.10142517089844,976037,0.0,0.0,,,,,,,0,,,,,,,0,98.86158803676207,100.0
2020-01-08 00:00:00+01:00,5,120.64270245998287,123.78032847906846,119.72526746028718,123.28491973876953,1281161,0.0,0.0,,,,,,,0,,,,,,,0,100.64409175333479,100.0
2020-01-09 00:00:00+01:00,6,124.42254387272759,124.66108595822804,122.77117189068683,123.78034210205078,815627,0.0,0.0,,,,,,,0,,,,,,,0,101.04853159798395,100.0
2020-01-10 00:00:00+01:00,7,123.78035762249891,123.87210674364918,123.00971540105822,123.32164001464844,649571,0.0,0.0,,,,,,,0,,,,,,,0,100.67406848384324,100.0
2020-01-13 00:00:00+01:00,8,123.30325186742623,125.02803405570491,123.30325186742623,123.96380615234375,1024311,0.0,0.0,,,,,,,0,,,,,,,0,101.19830314141562,100.0
2020-01-14 00:00:00+01:00,9,123.9638265988854,124.77117396893622,122.14730901521978,123.94548797607422,1236698,0.0,0.0,,,,,,,0,,,,,,,0,101.18334903172295,100.0
2020-01-15 00:00:00+01:00,10,124.00054289991358,124.77118509516514,122.18401115531353,123.17484283447266,881425,0.0,0.0,,,,,,,0,,,,,,,0,100.55423007293258,100.0
2020-01-16 00:00:00+01:00,11,123.11979227718012,124.42254848858265,122.29410625552826,122.3858413696289,912337,0.0,0.0,,,,,,,0,,,,,,,0,99.91012586302995,100.0
2020-01-17 00:00:00+01:00,12,123.37666712074571,125.87209168823765,123.37666712074571,125.48677062988281,1061143,0.0,0.0,,,,,,,0,,,,,,,0,102.44158072101978,100.0
2020-01-20 00:00:00+01:00,13,125.50513482096328,126.8445823379177,124.93631549280951,126.5143051147461,706794,0.0,0.0,,,,,,,0,,,,,,,0,103.28041222769086,100.0
2020-01-21 00:00:00+01:00,14,125.68861212134094,125.68861212134094,124.69778050649589,125.13814544677734,817707,0.0,0.0,,,,,,,0,,,,,,,0,102.15697928728127,100.0
2020-01-22 00:00:00+01:00,15,126.05557062099405,127.81705824096707,125.81704254695192,126.58768463134766,1191568,0.0,0.0,,,,,,,0,,,,,,,0,103.3403158624364,100.0
2020-01-23 00:00:00+01:00,16,126.60605448061746,126.73449484549488,124.42255427875156,124.58769989013672,985427,0.0,0.0,,,,,,,0,,,,,,,0,101.70762105899885,100.0
2020-01-24 00:00:00+01:00,17,125.8537295585726,127.89043642668281,125.78034707590965,127.52346801757812,1462261,0.0,0.0,,,,,,,0,,,,,,,0,104.10424602668185,100.0
2020-01-27 00:00:00+01:00,18,123.87208052962242,125.94547863870828,121.87206490318692,121.92710876464844,1804728,0.0,0.0,,,,,,,0,,,,,,,0,99.53563783575355,100.0
2020-01-28 00:00:00+01:00,19,124.77115943490196,125.59684533158351,122.67940876429142,123.15647888183594,1433803,0.0,0.0,,,,,,,0,,,,,,,0,100.5392385935364,100.0
2020-01-29 00:00:00+01:00,20,123.56015253015123,125.67025605962752,122.78951040601338,125.2849349975586,1045204,0.0,0.0,123.95373573303223,2.718027571102569,0.528030136081473,125.38794795445033,2.6379822427179858,0.01670761769342025,1,,,,,,,0,102.27681146990801,100.0
2020-01-30 00:00:00+01:00,21,123.59685637084525,124.29410199920706,122.51427568583905,123.39501953125,1090153,0.0,0.0,123.99869003295899,2.625355508964852,0.4269478690917476,125.13840615408758,2.00313391178102,0.060455958349402886,0,,,,,,,0,100.73397211858877,100.0
2020-01-31 00:00:00+01:00,22,123.92713669575852,124.93630692029706,122.18400158236653,122.23905944824219,1207948,0.0,0.0,123.9619930267334,2.7262217824246844,0.2746278146054672,124.7090485709054,1.2117377240425937,0.24128034208630833,0,,,,,,,0,99.79029990868713,100.0
2020-02-03 00:00:00+01:00,23,122.60603183734767,123.00970553972681,121.98218266017942,122.6427230834961,753424,0.0,0.0,123.97208518981934,2.6974543207108157,0.1255959920139091,124.31192997523715,0.5371118007708852,0.5977679537094818,0,,,,,,,0,100.11983218262674,100.0
2020-02-04 00:00:00+01:00,24,123.46842210329866,126.60604858398438,122.93630804531817,126.60604858398438,1125014,0.0,0.0,124.24731636047363,2.556555834289605,0.10124825119483877,124.51402860369002,0.431778778197261,0.6710298175897602,0,,,,,,,0,103.35530734183257,100.0
2020-02-05 00:00:00+01:00,25,125.98218776087387,127.02806315771156,124.91795974333436,125.5785140991211,1471991,0.0,0.0,124.36199607849122,2.5856984046606444,0.11437940782694285,124.66501137869699,0.48847653252774353,0.6311101898200782,0,,,,,,,0,102.51647583516149,100.0
2020-02-06 00:00:00+01:00,26,126.29411677621054,126.45924837151237,125.1014483695532,125.68860626220703,840490,0.0,0.0,124.45740928649903,2.6476733859597794,0.14764667043295515,124.85321644374301,0.6333532139431323,0.5344683225393414,0,,,,,,,0,102.60634997213154,100.0
2020-02-07 00:00:00+01:00,27,125.70696009134923,126.53264607368837,125.11980219305399,125.48677062988281,905844,0.0,0.0,124.56566581726074,2.624434556325858,0.1368090148348808,124.93080662318636,0.5859408349855928,0.5651907627262871,0,,,,,,,0,102.44158072101978,100.0
2020-02-10 00:00:00+01:00,28,124.8629248979835,126.27576881720823,124.84457227595621,125.33998107910156,668866,0.0,0.0,124.63447456359863,2.631566366176546,0.14216367640423766,125.01442206246514,0.6093383474703439,0.5499148002853619,0,,,,,,,0,102.32174853839304,100.0
2020-02-11 00:00:00+01:00,29,126.60604858398438,127.32164686910835,125.5968643362715,126.60604858398438,976754,0.0,0.0,124.76750259399414,2.7844899893092085,0.19794028927475363,125.31167286464144,0.8567409327810339,0.4028504625569157,0,,,,,,,0,103.35530734183257,100.0
2020-02-12 00:00:00+01:00,30,127.04640074559656,127.50511826677399,124.95464996894329,125.3216323852539,1323454,0.0,0.0,124.87484207153321,2.661492961668976,0.14155827709732802,125.255316707066,0.6066903237555137,0.5516325363826216,0,,,,,,,0,102.3067695155647,100.0
2020-02-13 00:00:00+01:00,31,122.93631523922116,126.88128934892646,119.96382018933738,121.83539581298828,2023142,0.0,0.0,124.84731979370117,2.8128909391170445,-0.14670646407032187,124.44194804600302,-0.6292310486282933,0.537102746574722,0,,,,,,,0,99.46076763474753,100.0
2020-02-14 00:00:00+01:00,32,122.3858288133024,122.77116384941849,119.04636582556249,119.13811492919922,1759988,0.0,0.0,124.52988700866699,4.321433506750463,-0.31659034004272,123.44561222621367,-1.4160155516795312,0.1738429634464722,0,,,,,,,0,97.25883259412946,100.0
2020-02-17 00:00:00+01:00,33,118.34912426220933,120.16564178466797,116.56929798308548,120.16564178466797,1239666,0.0,0.0,124.21245384216309,4.976105749326961,-0.37519839743293437,122.83355135236472,-1.7172893677768974,0.10308248710574298,0,,,,,,,0,98.09765787251662,100.0
2020-02-18 00:00:00+01:00,34,119.72527826557253,121.15647475443268,119.32160458944307,119.50508880615234,1225040,0.0,0.0,123.93080101013183,5.961896463305903,-0.46707317637727463,122.05189557756695,-2.241101369971331,0.03786552876494473,-1,,,,,,,0,97.5584130506963,100.0
2020-02-19 00:00:00+01:00,35,119.96380554300849,121.02803359131413,119.43169151885566,120.9179458618164,1221803,0.0,0.0,123.64731407165527,5.982444897421395,-0.46884002619421405,121.75805369785849,-2.2519617743591396,0.03704888479091671,-1,,,,,,,0,98.71180403676257,100.0
2020-02-20 00:00:00+01:00,36,120.45923223672445,122.64271827006614,120.42252699306731,120.89959716796875,1095571,0.0,0.0,123.46290893554688,6.281720777958425,-0.5136833272769633,121.34180199759345,-2.5401223123285015,0.020518949082639473,-1,,,,,,,0,98.69682501393423,100.0
2020-02-21 00:00:00+01:00,37,120.40418335427381,121.28491318007211,118.89959040283254,120.03720092773438,1237311,0.0,0.0,123.08859558105469,5.9039770554134545,-0.4938482368226569,121.11165499006002,-2.4095511151410514,0.02689410239862937,-1,,,,,,,0,97.99280471271823,100.0
2020-02-24 00:00:00+01:00,38,116.29407278661895,116.84453243513103,113.79864824725844,114.1105728149414,2631098,0.0,0.0,122.69776878356933,9.714023527988948,-0.6562241752302189,119.32815922328403,-3.689701664367204,0.0016766760950078991,-1,,,,,,,0,93.15458033916369,100.0
2020-02-25 00:00:00+01:00,39,115.19314340693921,115.89039600944521,113.32157505251195,113.33992767333984,2168881,0.0,0.0,122.20694122314453,13.841050598418864,-0.7457263825221396,117.63614545549667,-4.748725020029535,0.0001603967956534687,-1,,,,,,,0,92.52546138037332,100.0
2020-02-26 00:00:00+01:00,40,112.29405649657858,112.40414422779415,107.98210737079586,110.60597229003906,2641213,0.0,0.0,121.47299308776856,19.557792458574323,-0.7800621945094752,115.78947917393276,-5.289296965480783,4.9851745619839594e-05,-1,,,,,,,0,90.29358697895033,100.0
2020-02-27 00:00:00+01:00,41,107.8536669920806,108.11054769748742,103.7252090851088,105.50503540039062,3604297,0.0,0.0,120.57849388122558,31.321737980890823,-0.8201676144854172,113.01620396205357,-6.082039340832296,9.53108763049163e-06,-1,,,,,,,0,86.1294186326712,100.0
2020-02-28 00:00:00+01:00,42,99.13803777786043,102.86282916041476,96.91784644604809,99.17473602294922,5697178,0.0,0.0,119.42527770996094,52.75999906589283,-0.8538582167086668,109.20727691650389,-6.959796722907432,1.6779903886557119e-06,-1,,,,,,,0,80.96165575689314,100.0
2020-03-02 00:00:00+01:00,43,100.91786037527801,102.67933407649996,94.82609190894645,98.73436737060547,4352851,0.0,0.0,118.2298599243164,72.21906618063579,-0.8959067468411173,105.68642381940575,-8.556167598211388,9.288990228544487e-08,-1,,,,,,,0,80.60215920901292,100.0
2020-03-03 00:00:00+01:00,44,100.53253754779192,105.0096182095421,99.6701463344628,102.86282348632812,4116304,0.0,0.0,117.04269866943359,79.10897795674633,-0.9125844183828395,103.67016448974607,-9.469009874465296,2.0540999785610196e-08,-1,,,,,,,0,83.97243934538992,100.0
2020-03-04 00:00:00+01:00,45,102.86281962425872,103.21144242107039,100.86281094892034,101.79859161376953,2046426,0.0,0.0,115.85370254516602,85.67139891696584,-0.9286420932307188,101.69269757952003,-10.620323515898335,3.5096568812904595e-09,-1,,,,,,,0,83.10364979306215,100.0
2020-03-05 00:00:00+01:00,46,101.72519428485283,102.29400652705601,97.06462962097812,98.82610321044922,2689493,0.0,0.0,114.51057739257813,93.52810414046066,-0.9412297338055124,99.51391950334806,-11.822643511860763,6.411113077913537e-10,-1,,,,,,,0,80.67704809487071,100.0
2020-03-06 00:00:00+01:00,47,95.321505772343,96.31233733404784,91.2847900390625,91.2847900390625,4273436,0.0,0.0,112.80047836303712,111.55168446002719,-0.9483718015780798,96.29817831856869,-12.686314745028515,2.0508157389829131e-10,-1,,,,,,,0,74.52066971242206,100.0
2020-03-09 00:00:00+01:00,48,81.92694927253606,87.57834529991077,79.82602225765422,82.55997467041016,6098900,0.0,0.0,110.66147804260254,144.8388088500879,-0.9444127639544071,91.93603504725876,-12.187547709981981,3.92996158429498e-10,-1,,,,,,,0,67.39813501511946,100.0
2020-03-10 00:00:00+01:00,49,83.87191424048933,88.44992037880488,81.59667913719666,82.22053527832031,4342684,0.0,0.0,108.44220237731933,167.64651915017353,-0.9466483691061467,88.24860273088748,-12.46256219075631,2.7385355859785465e-10,-1,,,,,,,0,67.12103243522103,100.0
