DATE,ESPECES,TITRES,TOTAL,BASE100,APPARIEE100,DETENTION100,PART_INVESTIE,LIGNES_OUVERTES
2022-03-31,4185.74,5758.87,9944.61,99.4461,97.1853,94.6393,57.9094,3
2022-04-01,4185.74,5735.27,9921.01,99.2101,97.1529,94.5848,57.8093,3
2022-04-04,4063.22,5938.81,10002.03,100.0203,97.3523,94.9206,59.376,4
2022-04-05,4063.22,5864.84,9928.06,99.2806,96.1467,92.9409,59.0733,4
2022-04-06,4063.22,5698.88,9762.1,97.621,94.9265,90.9442,58.3776,4
2022-04-07,4063.22,5621.71,9684.93,96.8493,94.4492,90.1609,58.0459,4
2022-04-08,4063.22,5700.15,9763.37,97.6337,95.0625,91.1695,58.383,4
2022-04-11,3092.32,6620.48,9712.8,97.128,95.2542,91.4844,68.1625,5
2022-04-12,3092.32,6663.23,9755.55,97.5555,95.2156,91.43,68.302,5
2022-04-13,3092.32,6713.85,9806.17,98.0617,95.4521,91.7625,68.4656,5
2022-04-14,3092.32,6748.65,9840.96,98.4096,96.2073,92.8229,68.5771,5
2022-04-19,3092.32,6737.34,9829.66,98.2966,96.3007,92.9543,68.541,5
2022-04-20,3092.32,6855.98,9948.3,99.483,97.575,94.7489,68.9161,5
2022-04-21,3092.32,6966.75,10059.07,100.5907,98.8794,96.5868,69.2584,5
2022-04-22,3092.32,6868.67,9960.99,99.6099,97.6642,94.8729,68.9557,5
2022-04-25,3092.32,6713.66,9805.98,98.0598,96.9179,93.8216,68.465,5
2022-04-26,3092.32,6715.51,9807.82,98.0782,96.9432,93.8573,68.4709,5
2022-04-27,3092.32,6748.05,9840.37,98.4037,96.9283,93.8362,68.5752,5
2022-04-28,3092.32,6817.86,9910.18,99.1018,98.0628,95.4378,68.7966,5
2022-04-29,3092.32,6853.57,9945.88,99.4588,98.3151,95.7947,68.9086,5
2022-05-02,3092.32,6755.0,9847.32,98.4732,97.1675,94.172,68.5974,5
2022-05-03,3092.32,6783.97,9876.29,98.7629,98.2261,95.6677,68.6895,5
2022-05-04,3092.32,6749.53,9841.85,98.4185,97.6812,94.8951,68.5799,5
2022-05-05,3092.32,6641.99,9734.3,97.343,97.4935,94.6292,68.2328,5
2022-05-06,3092.32,6541.04,9633.36,96.3336,96.6609,93.4449,67.8999,5
2022-05-09,3092.32,6323.36,9415.68,94.1568,94.675,90.6174,67.1578,5
2022-05-10,3092.32,6361.77,9454.08,94.5408,94.8949,90.9308,67.2912,5
2022-05-11,3092.32,6574.96,9667.27,96.6727,96.6445,93.4222,68.0125,5
2022-05-12,3092.32,6483.65,9575.97,95.7597,95.6692,92.036,67.7075,5
2022-05-13,3092.32,6669.03,9761.35,97.6135,97.2087,94.2233,68.3208,5
2022-05-16,3092.32,6673.44,9765.75,97.6575,97.5598,94.7215,68.3351,5
2022-05-17,3092.32,6837.75,9930.06,99.3006,98.7129,96.3598,68.859,5
2022-05-18,3092.32,6768.43,9860.74,98.6074,98.1322,95.5366,68.6401,5
2022-05-19,3092.32,6687.15,9779.47,97.7947,97.3985,94.496,68.3795,5
2022-05-20,3092.32,6645.95,9738.27,97.3827,97.6418,94.8412,68.2457,5
2022-05-23,5330.48,4475.02,9805.5,98.055,98.316,95.8008,45.6379,3
2022-05-24,5330.48,4345.32,9675.8,96.758,97.1421,93.2943,44.9092,3
2022-05-25,5330.48,4361.98,9692.46,96.9246,97.7221,94.5347,45.0039,3
2022-05-26,5330.48,4491.61,9822.08,98.2208,98.6297,96.4856,45.7297,3
2022-05-27,5330.48,4612.92,9943.4,99.434,99.011,97.3014,46.3918,3
2022-05-30,5315.59,4705.71,10021.3,100.213,99.1898,97.6801,46.9571,2
2022-05-31,5315.59,4607.95,9923.55,99.2355,98.4654,96.1608,46.4345,2
2022-06-01,5315.59,4624.57,9940.16,99.4016,98.1293,95.454,46.5241,2
2022-06-02,5315.59,4673.51,9989.11,99.8911,98.52,96.2708,46.7861,2
2022-06-03,5315.59,4669.37,9984.97,99.8497,98.4727,96.1722,46.764,2
2022-06-06,8141.67,1891.87,10033.54,100.3354,99.0319,97.34,18.8555,1
2022-06-07,8141.67,1859.07,10000.74,100.0074,98.9612,96.9713,18.5893,1
2022-06-08,8141.67,1818.6,9960.27,99.6027,98.8643,96.4606,18.2586,1
2022-06-09,8141.67,1793.82,9935.49,99.3549,98.6417,95.2709,18.0546,1
2022-06-10,8141.67,1720.91,9862.58,98.6258,98.1577,92.6817,17.4489,1
2022-06-13,8141.67,1687.74,9829.41,98.2941,97.662,89.9996,17.1703,1
2022-06-14,8141.67,1680.09,9821.76,98.2176,97.5372,89.3295,17.1058,1
2022-06-15,8141.67,1700.86,9842.53,98.4253,97.7949,90.7092,17.2808,1
2022-06-16,8141.67,1645.46,9787.13,97.8713,97.2552,87.8127,16.8125,1
2022-06-17,8141.67,1662.95,9804.62,98.0462,97.2611,87.844,16.9609,1
2022-06-20,8141.67,1713.26,9854.93,98.5493,97.4754,88.9853,17.3848,1
2022-06-21,8141.67,1732.58,9874.25,98.7425,97.5426,89.3385,17.5464,1
2022-06-22,8141.67,1711.07,9852.74,98.5274,97.3575,88.3722,17.3664,1
2022-06-23,8141.67,1640.35,9782.02,97.8202,97.1078,87.0671,16.7691,1
2022-06-24,8141.67,1699.04,9840.71,98.4071,97.4624,88.9629,17.2654,1
2022-06-27,8141.67,1706.33,9848.0,98.48,97.4053,88.661,17.3267,1
2022-06-28,8141.67,1715.44,9857.11,98.5711,97.539,89.3636,17.4031,1
2022-06-29,8141.67,1686.28,9827.95,98.2795,97.22,87.6843,17.158,1
2022-06-30,8141.67,1700.86,9842.53,98.4253,96.9778,86.411,17.2808,1
2022-07-01,8141.67,1697.95,9839.62,98.3962,97.0188,86.6222,17.2562,1
2022-07-04,8141.67,1680.65,9822.32,98.2232,96.9753,86.3973,17.1105,1
2022-07-05,8141.67,1595.72,9737.39,97.3739,96.4213,83.5125,16.3875,1
2022-07-06,8141.67,1648.75,9790.42,97.9042,96.5908,84.4085,16.8405,1
2022-07-07,8141.67,1644.53,9786.2,97.862,96.9801,86.4286,16.8046,1
2022-07-08,8141.67,1700.64,9842.31,98.4231,97.2296,87.752,17.2789,1
2022-07-11,8141.67,1674.12,9815.79,98.1579,97.0564,86.8473,17.0554,1
2022-07-12,8141.67,1712.17,9853.84,98.5384,97.2036,87.6194,17.3756,1
2022-07-13,8141.67,1689.88,9831.55,98.3155,97.1207,87.1893,17.1883,1
2022-07-14,8141.67,1657.21,9798.88,97.9888,96.8885,85.9768,16.9122,1
2022-07-15,8141.67,1702.18,9843.84,98.4384,97.2761,88.0103,17.2918,1
2022-07-18,8141.67,1710.25,9851.92,98.5192,97.4612,88.979,17.3595,1
2022-07-19,8141.67,1783.65,9925.32,99.2532,97.7693,90.5991,17.9707,1
2022-07-20,8141.67,1810.94,9952.61,99.5261,97.7628,90.5656,18.1956,1
2022-07-21,8141.67,1902.41,10044.08,100.4408,97.7613,90.5579,18.9406,1
