DATE,ESPECES,TITRES,TOTAL,BASE100,REFERENCE100
2022-01-03,6667.58,3332.81,10000.39,100.0039,100.0
2022-01-04,6667.58,3358.96,10026.55,100.2655,101.2989
2022-01-05,6667.58,3356.88,10024.46,100.2446,102.2368
2022-01-06,6667.58,3309.13,9976.72,99.7672,101.2356
2022-01-07,6667.58,3340.07,10007.65,100.0765,101.1555
2022-01-10,6667.58,3267.1,9934.68,99.3468,99.7746
2022-01-11,6667.58,3293.91,9961.49,99.6149,100.5923
2022-01-12,6667.58,3266.38,9933.97,99.3397,101.219
2022-01-13,6667.58,3254.38,9921.96,99.2196,101.5111
2022-01-14,6667.58,3213.03,9880.62,98.8062,100.7062
2022-01-17,6667.58,3250.88,9918.47,99.1847,101.388
2022-01-18,6667.58,3204.98,9872.56,98.7256,100.411
2022-01-19,6667.58,3252.46,9920.05,99.2005,100.4366
2022-01-20,6667.58,3307.94,9975.52,99.7552,100.6032
2022-01-21,6667.58,3228.24,9895.82,98.9582,98.6802
2022-01-24,6667.58,3095.58,9763.16,97.6316,94.8998
2022-01-25,6667.58,3116.73,9784.32,97.8432,95.4004
2022-01-26,6667.58,3197.31,9864.89,98.6489,97.3535
2022-01-27,6667.58,3245.72,9913.3,99.133,97.5952
2022-01-28,6667.58,3247.9,9915.49,99.1549,96.4708
2022-01-31,6667.58,3276.39,9943.97,99.4397,96.9072
2022-02-01,6012.31,3960.77,9973.08,99.7308,98.3153
2022-02-02,6012.31,3938.02,9950.33,99.5033,98.6894
2022-02-03,6012.31,3899.3,9911.6,99.116,97.6239
2022-02-04,6012.31,3893.08,9905.39,99.0539,96.6708
2022-02-07,6012.31,3936.73,9949.03,99.4903,97.2551
2022-02-08,6012.31,3982.78,9995.09,99.9509,97.8119
2022-02-09,6012.31,4037.95,10050.25,100.5025,99.3594
2022-02-10,6012.31,4009.98,10022.28,100.2228,99.3401
2022-02-11,6012.31,4009.05,10021.36,100.2136,98.2942
2022-02-14,6012.31,3906.62,9918.93,99.1893,96.1182
2022-02-15,6012.31,3939.73,9952.04,99.5204,97.5897
2022-02-16,6012.31,3947.57,9959.88,99.5988,97.4695
2022-02-17,6012.31,3861.12,9873.42,98.7342,97.1675
2022-02-18,6012.31,3842.61,9854.92,98.5492,96.9075
2022-02-21,6012.31,3790.28,9802.58,98.0258,94.9766
2022-02-22,6012.31,3769.26,9781.56,97.8156,95.0684
2022-02-23,6012.31,3743.13,9755.44,97.5544,95.0095
2022-02-24,6012.31,3557.82,9570.13,95.7013,91.4091
2022-02-25,6012.31,3599.75,9612.05,96.1205,94.5272
2022-02-28,6012.31,3461.48,9473.79,94.7379,93.667
2022-03-01,5677.84,3736.55,9414.39,94.1439,90.2666
2022-03-02,5677.84,3727.75,9405.58,94.0558,90.8021
2022-03-03,5677.84,3687.23,9365.06,93.6506,89.404
2022-03-04,5677.84,3589.52,9267.36,92.6736,85.0796
2022-03-07,5677.84,3580.95,9258.79,92.5879,83.7464
2022-03-08,5677.84,3641.39,9319.23,93.1923,83.4825
2022-03-09,5677.84,3728.29,9406.12,94.0612,89.1114
2022-03-10,5677.84,3715.14,9392.97,93.9297,86.9457
2022-03-11,5677.84,3717.56,9395.39,93.9539,87.6262
2022-03-14,5677.84,3722.72,9400.55,94.0055,89.1874
2022-03-15,5677.84,3755.85,9433.68,94.3368,89.1862
2022-03-16,5677.84,3743.72,9421.55,94.2155,92.294
2022-03-17,5677.84,3779.12,9456.96,94.5696,92.5241
2022-03-18,5677.84,3719.61,9397.45,93.9745,92.7463
2022-03-21,5677.84,3736.9,9414.73,94.1473,92.4833
2022-03-22,5677.84,3761.24,9439.07,94.3907,93.4699
2022-03-23,5677.84,3752.07,9429.9,94.299,92.4538
2022-03-24,5677.84,3747.57,9425.41,94.2541,91.9304
2022-03-25,5677.84,3761.15,9438.98,94.3898,92.0402
2022-03-28,5677.84,3788.59,9466.43,94.6643,92.2158
2022-03-29,5677.84,3733.67,9411.51,94.1151,94.9772
2022-03-30,5677.84,3763.46,9441.29,94.4129,94.1167
2022-03-31,5677.84,3732.11,9409.95,94.0995,92.8917
2022-04-01,1932.3,7543.06,9475.36,94.7536,92.9919
2022-04-04,1932.3,7600.65,9532.96,95.3296,93.5675
2022-04-05,1932.3,7567.69,9499.99,94.9999,91.8982
2022-04-06,1932.3,7606.91,9539.21,95.3921,90.1941
2022-04-07,1932.3,7629.45,9561.75,95.6175,89.8508
2022-04-08,1932.3,7819.34,9751.64,97.5164,90.8602
2022-04-11,1932.3,7938.16,9870.46,98.7046,91.1597
2022-04-12,1932.3,7954.52,9886.82,98.8682,90.9025
2022-04-13,1932.3,8005.27,9937.57,99.3757,90.964
2022-04-14,1932.3,8114.93,10047.23,100.4723,91.7534
2022-04-19,1932.3,8089.86,10022.16,100.2216,91.4815
2022-04-20,1932.3,8021.42,9953.72,99.5372,92.7438
2022-04-21,1932.3,8050.06,9982.37,99.8237,93.6425
2022-04-22,1932.3,7924.94,9857.24,98.5724,92.1383
2022-04-25,1932.3,7734.4,9666.7,96.667,91.0389
2022-04-26,1932.3,7756.65,9688.96,96.8896,90.5535
2022-04-27,1932.3,7876.94,9809.25,98.0925,90.7474
2022-04-28,1932.3,7821.69,9753.99,97.5399,91.7102
2022-04-29,1932.3,7825.19,9757.5,97.575,92.0861
2022-05-02,1880.49,7820.55,9701.04,97.0104,90.6427
2022-05-03,1880.49,8004.13,9884.62,98.8462,91.9061
2022-05-04,1880.49,7941.6,9822.09,98.2209,90.8589
2022-05-05,1880.49,7987.24,9867.73,98.6773,90.357
2022-05-06,1880.49,8019.82,9900.31,99.0031,89.2646
2022-05-09,1880.49,7875.96,9756.44,97.5644,87.2088
2022-05-10,1880.49,7895.3,9775.79,97.7579,87.5134
2022-05-11,1880.49,7989.71,9870.2,98.702,89.0591
2022-05-12,1880.49,7887.39,9767.88,97.6788,88.2679
2022-05-13,1880.49,7996.04,9876.53,98.7653,90.3407
2022-05-16,1880.49,8069.28,9949.77,99.4977,90.398
2022-05-17,1880.49,8115.26,9995.74,99.9574,91.6535
2022-05-18,1880.49,8108.76,9989.25,99.8925,90.5217
2022-05-19,1880.49,8020.01,9900.5,99.005,89.7123
2022-05-20,1880.49,8088.33,9968.82,99.6882,89.9914
2022-05-23,1880.49,8231.19,10111.68,101.1168,91.2286
2022-05-24,1880.49,8222.95,10103.44,101.0344,89.7693
2022-05-25,1880.49,8267.83,10148.32,101.4832,90.6426
