DATE,ESPECES,TITRES,TOTAL,BASE100,REFERENCE100
2022-01-03,6086.89,3832.77,9919.66,99.1966,100.0
2022-01-04,6086.89,3866.45,9953.35,99.5335,101.2989
2022-01-05,6086.89,3813.76,9900.65,99.0065,102.2368
2022-01-06,6086.89,3660.67,9747.56,97.4756,101.2356
2022-01-07,6086.89,3599.15,9686.04,96.8604,101.1555
2022-01-10,6086.89,3501.85,9588.74,95.8874,99.7746
2022-01-11,6086.89,3578.8,9665.69,96.6569,100.5923
2022-01-12,6086.89,3599.76,9686.66,96.8666,101.219
2022-01-13,6086.89,3549.27,9636.16,96.3616,101.5111
2022-01-14,6086.89,3498.57,9585.47,95.8547,100.7062
2022-01-17,6086.89,3572.45,9659.34,96.5934,101.388
2022-01-18,6086.89,3518.56,9605.45,96.0545,100.411
2022-01-19,6086.89,3571.11,9658.01,96.5801,100.4366
2022-01-20,6086.89,3600.93,9687.83,96.8783,100.6032
2022-01-21,6086.89,3523.86,9610.76,96.1076,98.6802
2022-01-24,6086.89,3321.28,9408.17,94.0817,94.8998
2022-01-25,6086.89,3287.82,9374.72,93.7472,95.4004
2022-01-26,6086.89,3328.3,9415.19,94.1519,97.3535
2022-01-27,6086.89,3288.48,9375.37,93.7537,97.5952
2022-01-28,6086.89,3282.78,9369.67,93.6967,96.4708
2022-01-31,6086.89,3373.6,9460.49,94.6049,96.9072
2022-02-01,7685.83,1810.57,9496.4,94.964,98.3153
2022-02-02,7685.83,1844.78,9530.61,95.3061,98.6894
2022-02-03,7685.83,1773.65,9459.48,94.5948,97.6239
2022-02-04,7685.83,1738.99,9424.82,94.2482,96.6708
2022-02-07,7685.83,1752.04,9437.88,94.3788,97.2551
2022-02-08,7685.83,1753.84,9439.68,94.3968,97.8119
2022-02-09,7685.83,1806.06,9491.9,94.919,99.3594
2022-02-10,7685.83,1794.81,9480.64,94.8064,99.3401
2022-02-11,7685.83,1774.55,9460.38,94.6038,98.2942
2022-02-14,7685.83,1738.54,9424.37,94.2437,96.1182
2022-02-15,7685.83,1681.37,9367.2,93.672,97.5897
2022-02-16,7685.83,1647.61,9333.44,93.3344,97.4695
2022-02-17,7685.83,1671.91,9357.75,93.5775,97.1675
2022-02-18,7685.83,1674.16,9360.0,93.6,96.9075
2022-02-21,7685.83,1640.4,9326.23,93.2623,94.9766
2022-02-22,7685.83,1665.16,9350.99,93.5099,95.0684
2022-02-23,7685.83,1672.36,9358.2,93.582,95.0095
2022-02-24,7685.83,1643.1,9328.94,93.2894,91.4091
2022-02-25,7685.83,1702.98,9388.81,93.8881,94.5272
2022-02-28,7685.83,1695.32,9381.15,93.8115,93.667
2022-03-01,6004.13,3256.15,9260.28,92.6028,90.2666
2022-03-02,6004.13,3294.73,9298.86,92.9886,90.8021
2022-03-03,6004.13,3249.24,9253.37,92.5337,89.404
2022-03-04,6004.13,3014.84,9018.97,90.1897,85.0796
2022-03-07,6004.13,2966.11,8970.24,89.7024,83.7464
2022-03-08,6004.13,2910.82,8914.95,89.1495,83.4825
2022-03-09,6004.13,3146.31,9150.44,91.5044,89.1114
2022-03-10,6004.13,3028.42,9032.55,90.3255,86.9457
2022-03-11,6004.13,3044.65,9048.78,90.4878,87.6262
2022-03-14,6004.13,3094.13,9098.26,90.9826,89.1874
2022-03-15,6004.13,3084.97,9089.1,90.891,89.1862
2022-03-16,6004.13,3242.27,9246.4,92.464,92.294
2022-03-17,6004.13,3283.34,9287.46,92.8746,92.5241
2022-03-18,6004.13,3351.06,9355.19,93.5519,92.7463
2022-03-21,6004.13,3315.7,9319.83,93.1983,92.4833
2022-03-22,6004.13,3315.63,9319.76,93.1976,93.4699
2022-03-23,6004.13,3253.45,9257.58,92.5758,92.4538
2022-03-24,6004.13,3230.0,9234.13,92.3413,91.9304
2022-03-25,6004.13,3265.96,9270.08,92.7008,92.0402
2022-03-28,6004.13,3290.14,9294.27,92.9427,92.2158
2022-03-29,6004.13,3394.3,9398.43,93.9843,94.9772
2022-03-30,6004.13,3349.69,9353.82,93.5382,94.1167
2022-03-31,6004.13,3341.29,9345.41,93.4541,92.8917
2022-04-01,4029.53,5337.17,9366.7,93.667,92.9919
2022-04-04,4029.53,5409.26,9438.79,94.3879,93.5675
2022-04-05,4029.53,5339.48,9369.01,93.6901,91.8982
2022-04-06,4029.53,5251.32,9280.84,92.8084,90.1941
2022-04-07,4029.53,5218.12,9247.64,92.4764,89.8508
2022-04-08,4029.53,5294.19,9323.72,93.2372,90.8602
2022-04-11,4029.53,5325.14,9354.67,93.5467,91.1597
2022-04-12,4029.53,5392.61,9422.14,94.2214,90.9025
