DATE_DECISION,ISIN,SICOVAM,NOM,TICKER,RETENUE,MOTIF
2020-12-31,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2020-12-31,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2020-12-31,FR0010220475,1022047,Alstom,ALO.PA,oui,
2020-12-31,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2020-12-31,FR0000051732,5173,Atos,ATO.PA,oui,
2020-12-31,FR0000120628,12062,Axa,CS.PA,oui,
2020-12-31,FR0000131104,13110,BNP,BNP.PA,oui,
2020-12-31,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2020-12-31,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2020-12-31,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2020-12-31,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2020-12-31,FR0000120644,12064,DANONE,BN.PA,oui,
2020-12-31,FR0000130650,13065,Dassault Systèmes,DSY.PA,oui,
2020-12-31,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2020-12-31,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2020-12-31,FR0000052292,5229,Hermes International,RMS.PA,oui,
2020-12-31,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2020-12-31,FR0000120321,12032,L'Oréal,OR.PA,oui,
2020-12-31,FR0010307819,1030781,Legrand,LR.PA,oui,
2020-12-31,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2020-12-31,FR0000121261,12126,Michelin B,ML.PA,oui,
2020-12-31,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2020-12-31,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2020-12-31,FR0000121501,12150,Peugeot S.A.,,non,"radiee apres la fusion Stellantis, aucune serie servie"
2020-12-31,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2020-12-31,FR0000131906,13190,Renault,RNO.PA,oui,
2020-12-31,FR0000073272,7327,Safran,SAF.PA,oui,
2020-12-31,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2020-12-31,FR0000120578,12057,Sanofi,SAN.PA,oui,
2020-12-31,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2020-12-31,FR0000130809,13080,Société Générale,GLE.PA,oui,
2020-12-31,NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA,oui,
2020-12-31,FR0000051807,5180,Teleperformance,TEP.PA,oui,
2020-12-31,FR0000121329,12132,Thales (ex-Thomson CSF),HO.PA,oui,
2020-12-31,FR0000120271,12027,Total,TTE.PA,oui,
2020-12-31,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros chez le fournisseur (seul UNBLF, en dollars)"
2020-12-31,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2020-12-31,FR0000125486,12548,Vinci,DG.PA,oui,
2020-12-31,FR0000127771,12777,Vivendi,VIV.PA,oui,
2020-12-31,FR0011981968,1198196,Worldline,WLN.PA,oui,
2021-01-29,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2021-01-29,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2021-01-29,FR0010220475,1022047,Alstom,ALO.PA,oui,
2021-01-29,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2021-01-29,FR0000051732,5173,Atos,ATO.PA,oui,
2021-01-29,FR0000120628,12062,Axa,CS.PA,oui,
2021-01-29,FR0000131104,13110,BNP,BNP.PA,oui,
2021-01-29,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2021-01-29,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2021-01-29,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2021-01-29,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2021-01-29,FR0000120644,12064,DANONE,BN.PA,oui,
2021-01-29,FR0000130650,13065,Dassault Systèmes,DSY.PA,oui,
2021-01-29,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2021-01-29,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2021-01-29,FR0000052292,5229,Hermes International,RMS.PA,oui,
2021-01-29,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2021-01-29,FR0000120321,12032,L'Oréal,OR.PA,oui,
2021-01-29,FR0010307819,1030781,Legrand,LR.PA,oui,
2021-01-29,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2021-01-29,FR0000121261,12126,Michelin B,ML.PA,oui,
2021-01-29,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2021-01-29,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2021-01-29,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2021-01-29,FR0000131906,13190,Renault,RNO.PA,oui,
2021-01-29,FR0000073272,7327,Safran,SAF.PA,oui,
2021-01-29,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2021-01-29,FR0000120578,12057,Sanofi,SAN.PA,oui,
2021-01-29,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2021-01-29,FR0000130809,13080,Société Générale,GLE.PA,oui,
2021-01-29,NL00150001Q9,150001,Stellantis,STLAP.PA,non,"10 seances reelles, moins que les 253 du momentum 12-1"
2021-01-29,NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA,oui,
2021-01-29,FR0000051807,5180,Teleperformance,TEP.PA,oui,
2021-01-29,FR0000121329,12132,Thales (ex-Thomson CSF),HO.PA,oui,
2021-01-29,FR0000120271,12027,Total,TTE.PA,oui,
2021-01-29,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros chez le fournisseur (seul UNBLF, en dollars)"
2021-01-29,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2021-01-29,FR0000125486,12548,Vinci,DG.PA,oui,
2021-01-29,FR0000127771,12777,Vivendi,VIV.PA,oui,
2021-01-29,FR0011981968,1198196,Worldline,WLN.PA,oui,
2021-02-26,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2021-02-26,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2021-02-26,FR0010220475,1022047,Alstom,ALO.PA,oui,
2021-02-26,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2021-02-26,FR0000051732,5173,Atos,ATO.PA,oui,
2021-02-26,FR0000120628,12062,Axa,CS.PA,oui,
2021-02-26,FR0000131104,13110,BNP,BNP.PA,oui,
2021-02-26,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2021-02-26,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2021-02-26,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2021-02-26,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2021-02-26,FR0000120644,12064,DANONE,BN.PA,oui,
2021-02-26,FR0000130650,13065,Dassault Systèmes,DSY.PA,oui,
2021-02-26,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2021-02-26,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2021-02-26,FR0000052292,5229,Hermes International,RMS.PA,oui,
2021-02-26,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2021-02-26,FR0000120321,12032,L'Oréal,OR.PA,oui,
2021-02-26,FR0010307819,1030781,Legrand,LR.PA,oui,
2021-02-26,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2021-02-26,FR0000121261,12126,Michelin B,ML.PA,oui,
2021-02-26,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2021-02-26,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2021-02-26,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2021-02-26,FR0000131906,13190,Renault,RNO.PA,oui,
2021-02-26,FR0000073272,7327,Safran,SAF.PA,oui,
2021-02-26,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2021-02-26,FR0000120578,12057,Sanofi,SAN.PA,oui,
2021-02-26,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2021-02-26,FR0000130809,13080,Société Générale,GLE.PA,oui,
2021-02-26,NL00150001Q9,150001,Stellantis,STLAP.PA,non,"30 seances reelles, moins que les 253 du momentum 12-1"
2021-02-26,NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA,oui,
2021-02-26,FR0000051807,5180,Teleperformance,TEP.PA,oui,
2021-02-26,FR0000121329,12132,Thales (ex-Thomson CSF),HO.PA,oui,
2021-02-26,FR0000120271,12027,Total,TTE.PA,oui,
2021-02-26,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros chez le fournisseur (seul UNBLF, en dollars)"
2021-02-26,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2021-02-26,FR0000125486,12548,Vinci,DG.PA,oui,
2021-02-26,FR0000127771,12777,Vivendi,VIV.PA,oui,
2021-02-26,FR0011981968,1198196,Worldline,WLN.PA,oui,
2021-03-31,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2021-03-31,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2021-03-31,FR0010220475,1022047,Alstom,ALO.PA,oui,
2021-03-31,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2021-03-31,FR0000051732,5173,Atos,ATO.PA,oui,
2021-03-31,FR0000120628,12062,Axa,CS.PA,oui,
2021-03-31,FR0000131104,13110,BNP,BNP.PA,oui,
2021-03-31,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2021-03-31,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2021-03-31,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2021-03-31,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2021-03-31,FR0000120644,12064,DANONE,BN.PA,oui,
2021-03-31,FR0000130650,13065,Dassault Systèmes,DSY.PA,oui,
2021-03-31,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2021-03-31,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2021-03-31,FR0000052292,5229,Hermes International,RMS.PA,oui,
2021-03-31,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2021-03-31,FR0000120321,12032,L'Oréal,OR.PA,oui,
2021-03-31,FR0010307819,1030781,Legrand,LR.PA,oui,
2021-03-31,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2021-03-31,FR0000121261,12126,Michelin B,ML.PA,oui,
2021-03-31,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2021-03-31,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2021-03-31,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2021-03-31,FR0000131906,13190,Renault,RNO.PA,oui,
2021-03-31,FR0000073272,7327,Safran,SAF.PA,oui,
2021-03-31,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2021-03-31,FR0000120578,12057,Sanofi,SAN.PA,oui,
2021-03-31,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2021-03-31,FR0000130809,13080,Société Générale,GLE.PA,oui,
2021-03-31,NL00150001Q9,150001,Stellantis,STLAP.PA,non,"53 seances reelles, moins que les 253 du momentum 12-1"
2021-03-31,NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA,oui,
2021-03-31,FR0000051807,5180,Teleperformance,TEP.PA,oui,
2021-03-31,FR0000121329,12132,Thales (ex-Thomson CSF),HO.PA,oui,
2021-03-31,FR0000120271,12027,Total,TTE.PA,oui,
2021-03-31,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros chez le fournisseur (seul UNBLF, en dollars)"
2021-03-31,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2021-03-31,FR0000125486,12548,Vinci,DG.PA,oui,
2021-03-31,FR0000127771,12777,Vivendi,VIV.PA,oui,
2021-03-31,FR0011981968,1198196,Worldline,WLN.PA,oui,
