DATE,RANG,TICKER,S1,S2,S3,S4,S5,SCORE,POSITION,MOMENTUM,TAU,VETOS,VERDICT_REGLE
2022-12-30,1,TTE.PA,2,1,0,2,0,5,38.5,35.37,"48,4",aucun,ATTENTE
2022-12-30,2,DG.PA,2,-1,1,1,0,3,3.2,6.37,"39,1",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2022-12-30,3,MC.PA,2,-1,1,1,0,3,5.1,4.19,"65,0",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2022-12-30,4,AIR.PA,2,0,1,-1,0,2,2.5,-5.89,"26,0",aucun,ATTENTE
2022-12-30,5,BNP.PA,2,1,1,-2,0,2,15.3,-11.09,"12,7",veto 2 : canal se refermant en 12.7 séances,ATTENTE
2022-12-30,6,AI.PA,2,-1,1,-1,0,1,0.5,-1.04,"42,1",veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2022-12-30,7,SU.PA,2,-1,1,-2,0,0,1.0,-16.09,"74,8",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2022-12-30,8,ORA.PA,-2,0,0,1,0,-1,35.4,7.33,"31,4",aucun,ATTENTE
2022-12-30,9,SAN.PA,-2,1,-1,1,0,-1,87.2,1.54,"130,3",veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2022-12-30,10,RI.PA,0,-1,1,-1,0,-1,12.8,-5.05,"27,8",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2022-12-30,11,OR.PA,-2,-1,1,-2,0,-4,2.8,-12.12,"33,8",aucun,ATTENTE
2022-12-30,12,CAP.PA,-2,-1,1,-2,0,-4,5.5,-13.39,"135,2",aucun,ATTENTE
2023-01-31,1,TTE.PA,2,0,1,2,0,5,5.6,25.63,"138,4",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,2,AI.PA,2,1,-1,1,0,3,67.9,3.69,"42,0",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,3,SAN.PA,2,-1,1,1,0,3,10.2,1.78,"85,5",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-01-31,4,MC.PA,2,1,-1,1,0,3,86.3,0.11,"172,8",aucun,ATTENTE
2023-01-31,5,AIR.PA,2,0,1,-1,0,2,23.6,-0.13,"47,1",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,6,RI.PA,2,0,0,-1,0,1,49.4,-0.64,"106,2",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,7,DG.PA,2,1,-1,-1,0,1,72.9,-3.01,"59,5",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,8,OR.PA,2,1,-1,-1,0,1,69.0,-7.3,"67,4",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,9,SU.PA,2,1,-1,-1,0,1,82.8,-7.76,"73,6",aucun,ATTENTE
2023-01-31,10,BNP.PA,2,1,-1,-2,0,0,96.5,-10.67,"56,8",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,11,ORA.PA,0,-1,0,-1,0,-2,63.3,-6.63,"102,0",aucun,ATTENTE
2023-01-31,12,CAP.PA,-2,1,-1,-2,0,-4,86.9,-17.49,"135,1",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-02-28,1,MC.PA,2,0,1,2,0,5,8.8,47.88,"85,4",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-02-28,2,TTE.PA,2,1,0,2,0,5,48.6,35.93,"29,8",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-02-28,3,DG.PA,2,1,0,2,0,5,40.5,27.39,"26,6",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-02-28,4,AI.PA,2,1,0,2,0,5,61.0,20.32,"49,9",aucun,ATTENTE
2023-02-28,5,OR.PA,2,0,1,2,0,5,7.9,17.51,"36,6",aucun,ATTENTE
2023-02-28,6,SU.PA,2,0,1,2,0,5,18.8,12.36,"55,1",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-02-28,7,RI.PA,2,1,0,2,0,5,62.9,10.17,"251,1",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-02-28,8,BNP.PA,2,1,-1,2,0,4,78.3,42.55,"40,3",aucun,ATTENTE
2023-02-28,9,AIR.PA,2,1,-1,2,0,4,73.8,24.48,"78,8",aucun,ATTENTE
2023-02-28,10,SAN.PA,2,1,0,1,0,4,64.1,1.77,"95,7",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-02-28,11,CAP.PA,2,-1,1,1,0,3,12.8,5.18,"31,0",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-02-28,12,ORA.PA,2,1,-1,1,0,3,85.5,0.14,"348,4",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-03-31,1,BNP.PA,2,-1,1,2,0,4,32.0,42.16,∞,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-03-31,2,MC.PA,2,1,-1,2,0,4,93.7,29.67,"47,1",aucun,ATTENTE
2023-03-31,3,DG.PA,2,-1,1,2,0,4,33.7,26.8,∞,veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-03-31,4,AIR.PA,2,0,0,2,0,4,53.1,20.56,"631,2",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-03-31,5,ORA.PA,2,0,1,1,0,4,34.4,4.16,"51,0",aucun,ATTENTE
2023-03-31,6,AI.PA,2,1,0,1,0,4,60.2,3.26,"86,6",aucun,ATTENTE
2023-03-31,7,TTE.PA,2,-1,0,2,0,3,40.6,37.0,"358,4",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-03-31,8,OR.PA,2,1,-1,1,0,3,94.2,4.34,"174,5",aucun,ATTENTE
2023-03-31,9,RI.PA,2,1,-1,1,0,3,93.9,2.21,∞,aucun,ATTENTE
2023-03-31,10,SU.PA,2,-1,0,1,0,2,48.6,7.66,∞,veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-03-31,11,CAP.PA,2,-1,1,-1,0,1,25.4,-4.82,"1 399,7",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-03-31,12,SAN.PA,2,1,-1,-2,0,0,94.0,-11.17,∞,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-04-28,1,MC.PA,2,1,1,2,0,6,22.1,45.89,"20,8",aucun,ACHAT
2023-04-28,2,RI.PA,2,1,1,2,0,6,28.8,13.76,"95,5",aucun,ACHAT
2023-04-28,3,OR.PA,2,1,-1,2,0,4,87.5,25.98,∞,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-04-28,4,SU.PA,2,1,-1,2,0,4,92.9,17.7,"90,5",aucun,ATTENTE
2023-04-28,5,DG.PA,2,1,-1,2,0,4,97.8,14.85,"52 994,0",aucun,ATTENTE
2023-04-28,6,AIR.PA,2,1,-1,2,0,4,90.6,10.44,"1 499,6",aucun,ATTENTE
2023-04-28,7,BNP.PA,2,1,-1,2,0,4,94.9,10.26,"81,8",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-04-28,8,AI.PA,2,1,-1,1,0,3,88.9,4.58,"209,9",aucun,ATTENTE
2023-04-28,9,SAN.PA,2,1,-1,1,0,3,76.2,3.04,∞,aucun,ATTENTE
2023-04-28,10,ORA.PA,2,1,-1,1,0,3,88.7,0.28,"47,0",aucun,ATTENTE
2023-04-28,11,TTE.PA,0,1,-1,2,0,2,83.3,13.31,∞,aucun,ATTENTE
2023-04-28,12,CAP.PA,0,-1,0,-2,0,-3,53.8,-10.32,"28,8",aucun,ATTENTE
2023-05-31,1,SU.PA,2,1,1,2,0,6,18.6,20.22,"15,9",veto 2 : canal se refermant en 15.9 séances,ATTENTE
2023-05-31,2,AIR.PA,2,1,1,2,0,6,0.8,15.31,"111,2",aucun,ACHAT
2023-05-31,3,AI.PA,2,0,1,2,0,5,8.0,10.06,"14 876,1",aucun,ATTENTE
2023-05-31,4,MC.PA,2,-1,1,2,0,4,5.0,44.88,∞,veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-05-31,5,OR.PA,2,-1,1,2,0,4,3.6,33.44,∞,veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-05-31,6,DG.PA,2,-1,1,2,0,4,4.8,24.53,"121,3",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-05-31,7,RI.PA,2,-1,1,2,0,4,8.4,18.92,∞,veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-05-31,8,BNP.PA,0,1,1,1,0,3,3.8,8.6,"10,9",veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 10.9 séances,ATTENTE
2023-05-31,9,ORA.PA,2,-1,1,1,0,3,3.9,8.14,"20 870,2",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-05-31,10,SAN.PA,2,0,1,-1,0,2,6.3,-2.82,"265,0",aucun,ATTENTE
2023-05-31,11,TTE.PA,-2,0,1,1,0,0,11.7,5.78,"176,9",aucun,ATTENTE
2023-05-31,12,CAP.PA,-2,-1,-1,-1,0,-5,85.0,-8.82,"47,7",aucun,VENTE
2023-06-30,1,AI.PA,2,1,0,2,0,5,52.3,26.01,"3 167,6",aucun,ATTENTE
2023-06-30,2,AIR.PA,2,1,-1,2,0,4,71.1,34.91,"135,3",aucun,ATTENTE
2023-06-30,3,MC.PA,2,1,-1,2,0,4,96.5,34.57,"26,9",aucun,ATTENTE
2023-06-30,4,OR.PA,2,1,-1,2,0,4,93.2,17.99,"29,6",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-06-30,5,ORA.PA,2,0,1,1,0,4,20.8,7.4,∞,aucun,ATTENTE
2023-06-30,6,SU.PA,2,0,-1,2,0,3,67.8,43.31,"65,7",aucun,ATTENTE
2023-06-30,7,DG.PA,2,-1,0,2,0,3,47.0,28.7,"45,7",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-06-30,8,RI.PA,2,0,-1,2,0,3,92.1,15.64,"14,6",veto 2 : canal se refermant en 14.6 séances,ATTENTE
2023-06-30,9,SAN.PA,2,1,-1,-1,0,1,72.8,-1.56,"22,3",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-06-30,10,TTE.PA,-2,-1,1,2,0,0,17.3,15.19,"309,6",aucun,ATTENTE
2023-06-30,11,BNP.PA,-2,0,-1,2,0,-1,84.5,30.79,"20,8",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-06-30,12,CAP.PA,-2,0,-1,1,0,-2,79.9,4.41,"2 582,6",aucun,ATTENTE
2023-07-31,1,SU.PA,2,1,1,2,0,6,32.4,28.52,"221,5",aucun,ACHAT
2023-07-31,2,AIR.PA,2,1,0,2,0,5,47.0,28.12,"206,3",aucun,ATTENTE
2023-07-31,3,DG.PA,2,1,0,2,0,5,64.9,20.23,"77,1",aucun,ATTENTE
2023-07-31,4,ORA.PA,2,0,1,2,0,5,0.0,13.25,"37,0",aucun,ATTENTE
2023-07-31,5,MC.PA,2,0,0,2,0,4,50.1,28.36,"121,7",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-07-31,6,AI.PA,2,1,-1,2,0,4,92.3,25.4,"30,1",aucun,ATTENTE
2023-07-31,7,OR.PA,2,0,-1,2,0,3,87.7,20.93,"41,9",aucun,ATTENTE
2023-07-31,8,SAN.PA,2,0,0,1,0,3,60.5,4.47,"42,1",aucun,ATTENTE
2023-07-31,9,BNP.PA,0,1,-1,2,0,2,83.7,26.42,"28,0",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-07-31,10,RI.PA,0,1,0,1,0,2,63.5,7.02,"35,2",aucun,ATTENTE
2023-07-31,11,TTE.PA,-2,1,-1,2,0,0,95.7,15.26,"99,0",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-07-31,12,CAP.PA,0,0,1,-1,0,0,18.1,-5.92,"66,8",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-08-31,1,SU.PA,2,0,1,2,0,5,12.3,37.28,∞,aucun,ATTENTE
2023-08-31,2,BNP.PA,2,0,1,2,0,5,28.3,32.49,"51,8",aucun,ATTENTE
2023-08-31,3,AIR.PA,2,0,0,2,0,4,54.2,39.25,∞,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-08-31,4,AI.PA,2,1,-1,2,0,4,83.4,32.1,"82,3",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-08-31,5,SAN.PA,2,1,-1,2,0,4,75.1,22.08,"96,3",aucun,ATTENTE
2023-08-31,6,OR.PA,0,0,0,2,0,2,37.8,22.74,"49,0",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-08-31,7,TTE.PA,0,1,-1,2,0,2,94.5,14.37,"1 032,0",aucun,ATTENTE
2023-08-31,8,DG.PA,0,0,0,2,0,2,44.5,13.74,"165,0",aucun,ATTENTE
2023-08-31,9,CAP.PA,2,1,0,-1,0,2,44.0,-1.76,∞,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-08-31,10,ORA.PA,-2,1,0,1,0,0,52.0,8.3,"123,1",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-08-31,11,MC.PA,-2,-1,0,2,0,-1,36.7,28.7,"20,2",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-08-31,12,RI.PA,-2,-1,1,1,0,-1,0.0,9.28,"235,3",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-09-29,1,BNP.PA,2,1,0,2,0,5,41.6,46.38,"223,0",aucun,ATTENTE
