DATE,ESPECES,TITRES,TOTAL,BASE100,REFERENCE100
2025-01-02,10000.0,0,10000.0,100.0,100.0
2025-01-03,10000.0,0,10000.0,100.0,98.6824
2025-01-06,10000.0,0,10000.0,100.0,100.7981
2025-01-07,10000.0,0,10000.0,100.0,101.3125
2025-01-08,10000.0,0,10000.0,100.0,100.595
2025-01-09,10000.0,0,10000.0,100.0,101.0026
2025-01-10,10000.0,0,10000.0,100.0,100.0966
2025-01-13,10000.0,0,10000.0,100.0,100.0705
2025-01-14,10000.0,0,10000.0,100.0,100.1001
2025-01-15,10000.0,0,10000.0,100.0,100.6951
2025-01-16,10000.0,0,10000.0,100.0,102.8915
2025-01-17,10000.0,0,10000.0,100.0,103.9181
2025-01-20,10000.0,0,10000.0,100.0,104.287
2025-01-21,10000.0,0,10000.0,100.0,104.5306
2025-01-22,10000.0,0,10000.0,100.0,104.9308
2025-01-23,10000.0,0,10000.0,100.0,105.629
2025-01-24,10000.0,0,10000.0,100.0,106.3731
2025-01-27,10000.0,0,10000.0,100.0,106.2095
2025-01-28,10000.0,0,10000.0,100.0,106.3888
2025-01-29,10000.0,0,10000.0,100.0,105.7758
2025-01-30,10000.0,0,10000.0,100.0,106.8994
2025-01-31,10000.0,0,10000.0,100.0,106.9152
2025-02-03,10000.0,0,10000.0,100.0,105.8023
2025-02-04,10000.0,0,10000.0,100.0,106.3025
2025-02-05,10000.0,0,10000.0,100.0,105.8079
2025-02-06,10000.0,0,10000.0,100.0,107.3448
2025-02-07,10000.0,0,10000.0,100.0,106.5656
2025-02-10,10000.0,0,10000.0,100.0,106.7948
2025-02-11,10000.0,0,10000.0,100.0,106.9147
2025-02-12,10000.0,0,10000.0,100.0,107.2092
2025-02-13,10000.0,0,10000.0,100.0,108.5052
2025-02-14,10000.0,0,10000.0,100.0,108.4412
2025-02-17,10000.0,0,10000.0,100.0,108.4988
2025-02-18,10000.0,0,10000.0,100.0,107.937
2025-02-19,10000.0,0,10000.0,100.0,106.4634
2025-02-20,10000.0,0,10000.0,100.0,106.7087
2025-02-21,10000.0,0,10000.0,100.0,107.6276
2025-02-24,10000.0,0,10000.0,100.0,106.9547
2025-02-25,10000.0,0,10000.0,100.0,106.6673
2025-02-26,10000.0,0,10000.0,100.0,107.6535
2025-02-27,10000.0,0,10000.0,100.0,107.0263
2025-02-28,10000.0,0,10000.0,100.0,107.4429
2025-03-03,8004.57,2024.93,10029.51,100.2951,108.5354
2025-03-04,8004.57,1961.19,9965.76,99.6576,106.7978
2025-03-05,8004.57,2042.44,10047.01,100.4701,108.644
2025-03-06,8004.57,2111.11,10115.68,101.1568,109.4778
2025-03-07,8004.57,2094.69,10099.26,100.9926,108.4925
2025-03-10,8004.57,2036.42,10041.0,100.41,107.9458
2025-03-11,8004.57,1995.93,10000.51,100.0051,106.2994
2025-03-12,8004.57,2015.91,10020.48,100.2048,106.5453
2025-03-13,8004.57,2012.08,10016.65,100.1665,106.0865
2025-03-14,8004.57,2071.44,10076.01,100.7601,107.3866
2025-03-17,8004.57,2131.35,10135.92,101.3592,108.0042
2025-03-18,8004.57,2194.27,10198.84,101.9884,108.7626
2025-03-19,8004.57,2212.05,10216.62,102.1662,109.2452
2025-03-20,8004.57,2162.54,10167.11,101.6711,108.1981
2025-03-21,8004.57,2180.87,10185.44,101.8544,107.4977
2025-03-24,8004.57,2172.93,10177.5,101.775,106.9025
2025-03-25,8004.57,2231.75,10236.32,102.3632,107.946
2025-03-26,8004.57,2199.47,10204.04,102.0404,107.1472
2025-03-27,8004.57,2179.5,10184.07,101.8407,106.7875
2025-03-28,8004.57,2148.86,10153.43,101.5343,106.3211
2025-03-31,8004.57,2103.99,10108.57,101.0857,104.6269
2025-04-01,2162.55,8062.68,10225.23,102.2523,106.0026
2025-04-02,2162.55,7977.96,10140.51,101.4051,105.6962
2025-04-03,2162.55,7874.9,10037.45,100.3745,102.9993
2025-04-04,2162.55,7478.66,9641.21,96.4121,98.9736
2025-04-07,2162.55,7162.33,9324.88,93.2488,94.6362
