DATE,TICKER,SOUS_BAS,TAUX_20_POSITIF,AU_DESSUS_HAUT,REPLI_SOUS_SEUIL,SOUS_ECHANTILLON,RENDEMENT_20
2022-02-18,EN.PA,non,oui,oui,non,non,0.0612
2022-02-18,TTE.PA,non,oui,non,non,non,-10.1757
2022-02-18,SAF.PA,non,oui,non,non,non,-6.0825
2022-02-18,AIR.PA,non,oui,non,non,non,-7.7043
2022-02-18,PUB.PA,non,oui,non,non,non,-7.6063
2022-02-18,SGO.PA,non,oui,non,non,non,-6.5966
2022-02-18,MC.PA,oui,non,non,non,non,-6.8337
2022-02-18,CAP.PA,oui,non,non,non,non,4.9476
2022-02-25,ENGI.PA,non,oui,non,non,non,-18.1604
2022-02-25,AC.PA,non,non,non,non,non,-9.6362
2022-02-25,EN.PA,non,oui,oui,non,non,2.3227
2022-02-25,TTE.PA,oui,non,non,non,non,0.0546
2022-02-25,SAF.PA,non,oui,non,non,non,-8.8004
2022-02-25,AIR.PA,non,oui,non,non,non,-7.2291
2022-02-25,PUB.PA,oui,non,non,non,non,-5.8314
2022-02-25,SGO.PA,oui,non,non,non,non,-5.3158
2022-02-25,MC.PA,oui,non,non,non,non,-6.0906
2022-02-25,CAP.PA,oui,non,non,non,non,1.6125
2022-03-04,ENGI.PA,oui,non,non,non,oui,11.1256
2022-03-04,AC.PA,oui,non,non,non,oui,11.0303
2022-03-04,EN.PA,non,non,non,non,oui,5.3838
2022-03-04,TTE.PA,oui,non,non,non,oui,6.6045
2022-03-04,SAF.PA,oui,non,non,non,oui,10.2887
2022-03-04,AIR.PA,oui,non,non,non,oui,14.3357
2022-03-04,PUB.PA,oui,non,non,non,oui,9.0693
2022-03-04,SGO.PA,oui,non,non,non,oui,7.5866
2022-03-04,MC.PA,oui,non,non,oui,oui,12.4265
2022-03-04,CAP.PA,oui,non,non,non,oui,16.7007
2022-03-11,ENGI.PA,oui,non,non,non,non,4.9142
2022-03-11,AC.PA,oui,non,non,non,non,-0.9427
2022-03-11,EN.PA,non,non,non,non,non,-2.7471
2022-03-11,TTE.PA,oui,non,non,non,non,1.6187
2022-03-11,SAF.PA,non,non,non,non,non,-2.343
2022-03-11,AIR.PA,oui,non,non,non,non,-0.1545
2022-03-11,PUB.PA,oui,non,non,non,non,-0.3975
2022-03-11,SGO.PA,oui,non,non,non,non,-6.106
2022-03-11,MC.PA,oui,non,non,non,non,6.1859
2022-03-11,CAP.PA,oui,non,non,non,non,8.4
2022-03-18,ENGI.PA,oui,non,non,non,non,-3.1975
2022-03-18,AC.PA,non,non,non,non,non,3.8139
2022-03-18,EN.PA,non,oui,oui,non,non,-3.7897
2022-03-18,TTE.PA,oui,non,non,non,non,5.5656
2022-03-18,SAF.PA,non,non,non,non,non,-3.5104
2022-03-18,AIR.PA,non,non,non,non,non,-0.4011
2022-03-18,PUB.PA,non,non,non,non,non,-3.3552
2022-03-18,SGO.PA,non,non,non,non,non,-10.7149
2022-03-18,MC.PA,non,non,non,non,non,-0.8289
2022-03-18,CAP.PA,non,non,non,non,non,-3.7663
2022-03-25,ENGI.PA,oui,oui,non,non,non,4.3609
2022-03-25,AC.PA,non,oui,non,non,non,6.1794
2022-03-25,EN.PA,non,oui,oui,non,non,1.4111
2022-03-25,TTE.PA,non,oui,non,non,non,-5.9769
2022-03-25,SAF.PA,non,oui,non,non,non,0.7084
2022-03-25,AIR.PA,non,oui,non,non,non,-3.7539
2022-03-25,PUB.PA,non,oui,non,non,non,1.6631
2022-03-25,SGO.PA,non,oui,non,non,non,-1.3489
2022-03-25,MC.PA,non,oui,non,non,non,-1.8714
2022-03-25,CAP.PA,non,oui,non,non,non,-3.564
2022-04-01,ENGI.PA,non,oui,non,non,oui,2.3569
2022-04-01,AC.PA,non,oui,non,non,oui,9.9
2022-04-01,EN.PA,non,oui,non,non,oui,3.308
2022-04-01,TTE.PA,non,oui,non,non,oui,4.3739
2022-04-01,SAF.PA,non,oui,non,non,oui,-6.0759
2022-04-01,AIR.PA,non,oui,non,non,oui,-2.6594
2022-04-01,PUB.PA,oui,oui,non,non,oui,4.5389
2022-04-01,SGO.PA,oui,oui,non,non,oui,2.3691
2022-04-01,MC.PA,non,oui,non,non,oui,-6.4953
2022-04-01,CAP.PA,non,oui,oui,non,oui,-2.9022
2022-04-08,ENGI.PA,oui,non,non,non,non,1.7908
2022-04-08,AC.PA,non,oui,non,non,non,6.2958
2022-04-08,EN.PA,non,non,non,non,non,6.2571
2022-04-08,TTE.PA,oui,oui,non,non,non,5.4424
2022-04-08,SAF.PA,non,non,non,non,non,-8.8889
2022-04-08,AIR.PA,non,oui,non,non,non,2.6109
2022-04-08,PUB.PA,non,non,non,non,non,-3.955
2022-04-08,SGO.PA,oui,non,non,non,non,1.0514
2022-04-08,MC.PA,non,oui,non,non,non,-12.012
2022-04-08,CAP.PA,non,oui,non,non,non,-6.8529
2022-04-14,ENGI.PA,non,non,non,non,non,7.3673
2022-04-14,AC.PA,non,non,non,non,non,6.5382
2022-04-14,EN.PA,non,non,non,non,non,7.7493
2022-04-14,TTE.PA,non,oui,non,non,non,10.7518
2022-04-14,SAF.PA,non,non,non,non,non,-7.1236
2022-04-14,AIR.PA,non,non,non,non,non,1.1661
2022-04-14,PUB.PA,non,non,non,non,non,-0.6472
2022-04-14,SGO.PA,non,non,non,non,non,2.3121
2022-04-14,MC.PA,non,non,non,non,non,-9.1229
2022-04-14,CAP.PA,non,non,non,non,non,-3.2435
2022-04-22,ENGI.PA,non,non,non,non,non,12.5935
2022-04-22,AC.PA,non,oui,non,non,non,1.1928
2022-04-22,EN.PA,non,non,non,non,non,4.9234
2022-04-22,TTE.PA,oui,oui,non,non,non,12.7316
2022-04-22,SAF.PA,non,non,non,non,non,-10.2375
2022-04-22,AIR.PA,non,non,non,non,non,2.1594
2022-04-22,PUB.PA,non,oui,non,non,non,-5.8621
2022-04-22,SGO.PA,non,non,non,non,non,-6.3615
2022-04-22,MC.PA,non,non,non,non,non,-11.9759
2022-04-22,CAP.PA,non,non,non,non,non,-5.9084
2022-04-29,ENGI.PA,non,oui,non,non,oui,12.171
2022-04-29,AC.PA,non,oui,non,non,oui,-2.6958
2022-04-29,EN.PA,non,oui,non,non,oui,5.6231
2022-04-29,TTE.PA,non,non,non,non,oui,16.2096
2022-04-29,SAF.PA,non,oui,non,non,oui,-3.5278
2022-04-29,AIR.PA,non,non,non,non,oui,5.9883
2022-04-29,PUB.PA,non,oui,non,non,oui,-10.1077
2022-04-29,SGO.PA,non,oui,non,non,oui,-2.0771
2022-04-29,MC.PA,non,non,non,non,oui,-4.2131
2022-04-29,CAP.PA,non,non,oui,non,oui,-4.8445
2022-05-06,ENGI.PA,non,oui,non,non,non,11.995
2022-05-06,AC.PA,non,oui,non,non,non,-1.2787
2022-05-06,EN.PA,non,oui,non,non,non,4.0338
2022-05-06,TTE.PA,non,oui,non,non,non,7.668
2022-05-06,SAF.PA,oui,non,non,non,non,1.314
2022-05-06,AIR.PA,non,oui,non,non,non,1.0977
2022-05-06,PUB.PA,non,oui,non,non,non,-6.415
2022-05-06,SGO.PA,non,oui,non,non,non,6.0901
2022-05-06,MC.PA,oui,non,non,non,non,8.4001
2022-05-06,CAP.PA,non,oui,non,non,non,-0.7483
2022-05-13,ENGI.PA,non,oui,non,non,non,7.9049
2022-05-13,AC.PA,non,oui,non,non,non,-4.9853
2022-05-13,EN.PA,non,oui,non,non,non,0.0961
2022-05-13,TTE.PA,non,oui,non,non,non,6.6954
2022-05-13,SAF.PA,oui,non,non,non,non,-4.5571
2022-05-13,AIR.PA,non,oui,non,non,non,-4.0993
2022-05-13,PUB.PA,non,non,non,non,non,-14.0699
2022-05-13,SGO.PA,non,non,non,non,non,1.1128
2022-05-13,MC.PA,non,non,non,non,non,-1.445
2022-05-13,CAP.PA,non,non,non,non,non,-6.5732
2022-05-20,ENGI.PA,non,oui,oui,non,non,-10.9793
2022-05-20,AC.PA,non,non,non,non,non,-9.201
2022-05-20,EN.PA,non,oui,oui,non,non,-2.1384
2022-05-20,TTE.PA,non,oui,oui,non,non,-4.5832
