DATE,ESPECES,TITRES,TOTAL,BASE100,REFERENCE100,LIGNES
2022-01-03,10000.0,0,10000.0,100.0,100.0,0
2022-01-04,10000.0,0,10000.0,100.0,101.2989,0
2022-01-05,10000.0,0,10000.0,100.0,102.2368,0
2022-01-06,10000.0,0,10000.0,100.0,101.2356,0
2022-01-07,4294.71,5562.6,9857.31,98.5731,101.1555,3
2022-01-10,4294.71,5490.08,9784.79,97.8479,99.7746,3
2022-01-11,2160.39,7628.9,9789.29,97.8929,100.5923,4
2022-01-12,2160.39,7620.85,9781.24,97.8124,101.219,4
2022-01-13,2160.39,7626.34,9786.73,97.8673,101.5111,4
2022-01-14,2160.39,7527.99,9688.38,96.8838,100.7062,4
2022-01-17,2160.39,7677.94,9838.33,98.3833,101.388,4
2022-01-18,2160.39,7548.63,9709.02,97.0902,100.411,4
2022-01-19,2160.39,7556.85,9717.24,97.1724,100.4366,4
2022-01-20,2160.39,7596.47,9756.86,97.5686,100.6032,4
2022-01-21,2160.39,7481.47,9641.86,96.4186,98.6802,4
2022-01-24,2160.39,7164.34,9324.73,93.2473,94.8998,4
2022-01-25,3.34,9303.62,9306.96,93.0696,95.4004,5
2022-01-26,3.34,9506.99,9510.33,95.1033,97.3535,5
2022-01-27,3.34,9578.13,9581.46,95.8146,97.5952,5
2022-01-28,3.34,9429.21,9432.54,94.3254,96.4708,5
2022-01-31,3.34,9531.56,9534.89,95.3489,96.9072,5
2022-02-01,3.34,9723.86,9727.2,97.272,98.3153,5
2022-02-02,3.34,9785.21,9788.55,97.8855,98.6894,5
2022-02-03,3.34,9555.74,9559.08,95.5908,97.6239,5
2022-02-04,3.34,9484.57,9487.91,94.8791,96.6708,5
2022-02-07,3.34,9573.01,9576.34,95.7634,97.2551,5
2022-02-08,3.34,9610.8,9614.14,96.1414,97.8119,5
2022-02-09,3.34,9822.82,9826.16,98.2616,99.3594,5
2022-02-10,2362.58,7401.95,9764.54,97.6454,99.3401,4
2022-02-11,454.07,9164.18,9618.25,96.1825,98.2942,5
2022-02-14,454.07,8983.49,9437.56,94.3756,96.1182,5
2022-02-15,454.07,9113.06,9567.13,95.6713,97.5897,5
2022-02-16,454.07,9022.07,9476.14,94.7614,97.4695,5
2022-02-17,454.07,9002.99,9457.06,94.5706,97.1675,5
2022-02-18,454.07,9012.01,9466.08,94.6608,96.9075,5
2022-02-21,454.07,8840.92,9294.99,92.9499,94.9766,5
2022-02-22,454.07,8847.81,9301.88,93.0188,95.0684,5
2022-02-23,454.07,8846.93,9301.0,93.01,95.0095,5
2022-02-24,454.07,8586.74,9040.81,90.4081,91.4091,5
2022-02-25,454.07,8908.67,9362.75,93.6275,94.5272,5
2022-02-28,454.07,8822.91,9276.98,92.7698,93.667,5
2022-03-01,454.07,8526.32,8980.39,89.8039,90.2666,5
2022-03-02,454.07,8565.41,9019.48,90.1948,90.8021,5
2022-03-03,454.07,8450.66,8904.73,89.0473,89.404,5
2022-03-04,454.07,7982.47,8436.54,84.3654,85.0796,5
2022-03-07,454.07,7867.39,8321.46,83.2146,83.7464,5
2022-03-08,454.07,7717.0,8171.07,81.7107,83.4825,5
2022-03-09,454.07,8380.53,8834.6,88.346,89.1114,5
2022-03-10,454.07,8117.25,8571.32,85.7132,86.9457,5
2022-03-11,454.07,8167.0,8621.07,86.2107,87.6262,5
2022-03-14,454.07,8270.98,8725.05,87.2505,89.1874,5
2022-03-15,454.07,8238.41,8692.48,86.9248,89.1862,5
2022-03-16,454.07,8674.89,9128.96,91.2896,92.294,5
2022-03-17,454.07,8762.48,9216.55,92.1655,92.5241,5
2022-03-18,454.07,8902.94,9357.01,93.5701,92.7463,5
2022-03-21,454.07,8886.63,9340.7,93.407,92.4833,5
2022-03-22,454.07,8961.12,9415.19,94.1519,93.4699,5
2022-03-23,454.07,8859.78,9313.85,93.1385,92.4538,5
2022-03-24,454.07,8866.47,9320.54,93.2054,91.9304,5
2022-03-25,454.07,8877.8,9331.87,93.3187,92.0402,5
2022-03-28,454.07,8949.85,9403.92,94.0392,92.2158,5
2022-03-29,454.07,9282.68,9736.75,97.3675,94.9772,5
2022-03-30,2088.68,7680.99,9769.67,97.6967,94.1167,4
2022-03-31,3898.96,5778.28,9677.24,96.7724,92.8917,3
2022-04-01,3898.96,5845.63,9744.59,97.4459,92.9919,3
2022-04-04,3898.96,5906.8,9805.75,98.0575,93.5675,3
2022-04-05,3898.96,5918.79,9817.74,98.1774,91.8982,3
2022-04-06,4008.74,5651.88,9660.62,96.6062,90.1941,3
2022-04-07,4008.74,5603.0,9611.75,96.1175,89.8508,3
2022-04-08,4008.74,5681.85,9690.6,96.906,90.8602,3
2022-04-11,4008.74,5740.28,9749.02,97.4902,91.1597,3
2022-04-12,4008.74,5774.33,9783.07,97.8307,90.9025,3
2022-04-13,4008.74,5793.3,9802.04,98.0204,90.964,3
2022-04-14,4008.74,5789.5,9798.25,97.9825,91.7534,3
2022-04-19,4008.74,5785.21,9793.95,97.9395,91.4815,3
2022-04-20,4008.74,5852.53,9861.28,98.6128,92.7438,3
2022-04-21,4008.74,5951.3,9960.05,99.6005,93.6425,3
2022-04-22,4008.74,5818.95,9827.69,98.2769,92.1383,3
2022-04-25,4008.74,5700.91,9709.65,97.0965,91.0389,3
2022-04-26,4008.74,5750.5,9759.24,97.5924,90.5535,3
2022-04-27,4008.74,5777.43,9786.17,97.8617,90.7474,3
2022-04-28,4008.74,5868.96,9877.71,98.7771,91.7102,3
2022-04-29,4008.74,5891.76,9900.51,99.0051,92.0861,3
2022-05-02,4008.74,5804.7,9813.45,98.1345,90.6427,3
2022-05-03,4008.74,5904.64,9913.38,99.1338,91.9061,3
2022-05-04,4008.74,5853.3,9862.04,98.6204,90.8589,3
2022-05-05,4008.74,5823.69,9832.44,98.3244,90.357,3
2022-05-06,4008.74,5821.6,9830.35,98.3035,89.2646,3
2022-05-09,4008.74,5637.63,9646.38,96.4638,87.2088,3
2022-05-10,4008.74,5646.09,9654.83,96.5483,87.5134,3
2022-05-11,4008.74,5856.04,9864.79,98.6479,89.0591,3
2022-05-12,4008.74,5777.97,9786.72,97.8672,88.2679,3
2022-05-13,4008.74,5945.77,9954.52,99.5452,90.3407,3
2022-05-16,4008.74,5955.76,9964.51,99.6451,90.398,3
2022-05-17,6250.23,3774.51,10024.74,100.2474,91.6535,2
2022-05-18,6250.23,3730.44,9980.67,99.8067,90.5217,2
2022-05-19,4179.17,5684.68,9863.85,98.6385,89.7123,3
2022-05-20,4179.17,5619.52,9798.7,97.987,89.9914,3
2022-05-23,4179.17,5632.53,9811.7,98.117,91.2286,3
2022-05-24,4179.17,5561.35,9740.53,97.4053,89.7693,3
2022-05-25,4179.17,5577.24,9756.41,97.5641,90.6426,3
2022-05-26,4179.17,5704.12,9883.3,98.833,92.0602,3
2022-05-27,4179.17,5762.12,9941.29,99.4129,93.2407,3
2022-05-30,4179.17,5774.71,9953.89,99.5389,93.7873,3
2022-05-31,5851.61,4042.58,9894.19,98.9419,92.4413,2
2022-06-01,5851.61,4061.56,9913.17,99.1317,92.023,2
2022-06-02,5851.61,4106.3,9957.91,99.5791,93.1694,2
2022-06-03,5851.61,4122.73,9974.34,99.7434,92.8232,2
2022-06-06,3940.73,6057.74,9998.46,99.9846,93.6739,3
2022-06-07,3940.73,6057.59,9998.31,99.9831,93.156,3
2022-06-08,3940.73,6005.3,9946.02,99.4602,92.3849,3
2022-06-09,3940.73,5964.14,9904.87,99.0487,91.2826,3
2022-06-10,3940.73,5846.26,9786.99,97.8699,88.7394,3
2022-06-13,3940.73,5850.04,9790.77,97.9077,86.5255,3
2022-06-14,3940.73,5818.86,9759.59,97.5959,85.4542,3
2022-06-15,3940.73,5862.39,9803.12,98.0312,86.7919,3
2022-06-16,3940.73,5812.73,9753.45,97.5345,84.5896,3
2022-06-17,3940.73,5776.48,9717.21,97.1721,84.7639,3
2022-06-20,3940.73,5865.7,9806.43,98.0643,85.5094,3
2022-06-21,3940.73,5819.48,9760.21,97.6021,85.9967,3
2022-06-22,3940.73,5659.48,9600.21,96.0021,85.047,3
2022-06-23,3940.73,5580.54,9521.27,95.2127,84.0214,3
2022-06-24,3940.73,5733.09,9673.82,96.7382,86.2288,3
2022-06-27,3940.73,5720.73,9661.46,96.6146,86.0676,3
2022-06-28,3940.73,5805.35,9746.08,97.4608,86.6325,3
2022-06-29,3940.73,5747.64,9688.37,96.8837,85.3645,3
2022-06-30,3940.73,5706.76,9647.49,96.4749,83.8045,3
2022-07-01,3940.73,5784.73,9725.46,97.2546,84.0486,3
2022-07-04,2037.11,7686.39,9723.49,97.2349,84.0117,4
2022-07-05,2037.11,7414.26,9451.37,94.5137,81.6195,4
2022-07-06,2037.11,7560.88,9597.99,95.9799,83.1107,4
2022-07-07,4.94,9620.59,9625.52,96.2552,84.6068,5
2022-07-08,4.94,9715.13,9720.06,97.2006,85.4232,5
2022-07-11,4.94,9678.62,9683.55,96.8355,84.6443,5
2022-07-12,4.94,9786.49,9791.43,97.9143,85.3843,5
2022-07-13,4.94,9680.72,9685.66,96.8566,84.6499,5
2022-07-14,4.94,9541.47,9546.4,95.464,83.4803,5
2022-07-15,4.94,9678.33,9683.26,96.8326,85.2292,5
2022-07-18,4.94,9713.75,9718.68,97.1868,86.1902,5
2022-07-19,4.94,9837.78,9842.71,98.4271,87.7187,5
2022-07-20,2085.27,7674.31,9759.58,97.5958,87.5912,4
2022-07-21,2085.27,7610.82,9696.08,96.9608,87.8387,4
2022-07-22,2085.27,7523.06,9608.33,96.0833,87.8251,4
2022-07-25,2085.27,7552.62,9637.89,96.3789,88.0924,4
2022-07-26,2085.27,7603.18,9688.45,96.8845,87.662,4
2022-07-27,2085.27,7628.65,9713.91,97.1391,88.3402,4
2022-07-28,2085.27,7573.1,9658.37,96.5837,89.3229,4
2022-07-29,2085.27,7499.54,9584.8,95.848,90.6415,4
2022-08-01,2085.27,7458.43,9543.69,95.4369,90.5865,4
2022-08-02,2085.27,7571.32,9656.59,96.5659,90.4617,4
2022-08-03,3.58,9610.11,9613.69,96.1369,91.1952,5
2022-08-04,3.58,9559.18,9562.76,95.6276,91.6448,5
2022-08-05,3.58,9645.61,9649.19,96.4919,91.2026,5
2022-08-08,3.58,9664.72,9668.3,96.683,91.9228,5
2022-08-09,3.58,9735.14,9738.71,97.3871,91.4817,5
2022-08-10,3.58,9557.9,9561.48,95.6148,92.3982,5
2022-08-11,3.58,9597.04,9600.62,96.0062,92.7857,5
2022-08-12,3.58,9557.27,9560.85,95.6085,92.6624,5
2022-08-15,3.58,9531.82,9535.4,95.354,92.9255,5
