TIRAGE,UNIVERS,TOP10
270,94.5954,92.8266
271,91.6323,93.1854
272,96.025,90.1394
273,99.6926,90.8584
274,97.3241,91.9645
275,101.9252,88.6211
276,98.6762,93.4446
277,99.6041,94.6255
278,99.4334,94.5567
279,102.9465,96.1117
280,88.4772,92.2044
281,97.2391,93.2595
282,92.065,92.8078
283,97.6314,93.8238
284,102.9415,94.1569
285,111.9663,90.6529
286,91.5676,95.0836
287,92.8125,91.065
288,95.8848,94.9028
289,94.7186,89.8984
290,100.2254,94.3886
291,99.6098,95.8685
292,91.0575,92.3021
293,104.2163,95.2428
294,95.067,88.8926
295,96.9532,89.4725
296,98.5828,95.2688
297,105.1366,91.529
298,100.1492,93.4556
299,96.3723,96.0819
300,95.6057,93.8966
301,91.7093,97.6437
302,101.622,95.3806
303,94.831,95.7083
304,101.1058,92.0862
305,97.3006,97.4372
306,90.4575,90.072
307,99.0375,93.3722
308,95.1694,87.9822
309,94.4061,93.3391
310,93.8887,89.3137
311,96.2833,93.8925
312,98.9625,94.1439
313,100.7027,88.2523
314,92.326,92.4845
315,93.0491,92.971
316,92.9635,95.4559
317,89.1941,90.193
318,100.3235,90.3253
319,99.5061,99.2081
320,97.8956,90.9649
321,89.5984,92.5035
322,90.1042,86.8302
323,98.2805,89.8972
324,98.089,94.0057
325,96.7378,93.332
326,102.5385,90.7429
327,99.6891,89.919
328,91.02,94.4636
329,94.3047,89.6088
330,94.7317,96.5159
331,102.4234,88.4671
332,95.4545,94.0298
333,92.108,93.8444
334,86.8304,92.1148
335,86.5009,85.3509
336,97.4775,94.2627
337,100.6172,93.0833
338,101.9606,95.709
339,97.5558,97.2527
340,106.2616,91.8421
341,95.0814,91.4421
342,99.4059,92.9127
343,94.6752,95.7136
344,92.3373,91.1717
345,90.8946,91.9402
346,97.6462,90.889
347,105.1332,96.2899
348,102.1133,96.3892
349,101.1159,94.4544
350,101.7959,94.467
351,97.5942,93.1726
352,96.213,86.1491
353,100.401,93.4025
354,102.6316,92.0466
355,92.3427,92.4191
356,101.2956,96.4762
357,97.694,92.0639
358,103.3503,92.7633
359,97.9388,90.3151
360,104.8326,95.4029
361,103.421,92.2205
362,92.8864,94.3674
363,90.2871,91.863
364,92.7431,94.5089
365,91.3443,92.8682
366,95.9213,92.3932
367,100.499,95.4496
368,96.3397,96.8861
369,92.9203,90.9774
370,96.091,96.5241
371,100.3132,95.0444
372,96.7302,85.6717
373,102.2089,93.6685
374,96.3347,94.4134
375,99.9485,87.4466
376,94.9801,94.131
377,87.9185,90.2821
378,96.1563,92.756
379,99.68,93.274
380,95.0247,95.0071
381,95.522,92.7987
382,97.8555,93.922
383,96.1638,95.4725
384,94.1273,92.7845
385,95.6451,94.8856
386,93.894,92.1543
387,98.879,94.1418
388,95.8419,89.3791
389,90.9762,92.1309
390,98.336,93.9107
391,95.3163,92.2443
392,90.1828,92.2644
393,96.7359,98.3868
394,98.8935,90.0352
395,99.3851,96.3307
396,102.2881,94.4535
397,97.9479,95.3858
398,100.1043,95.3916
399,91.9115,92.0185
400,98.0675,93.0136
401,96.6911,96.5677
402,92.7299,91.8953
403,92.0441,91.7953
404,99.3274,93.1317
405,96.4844,93.4076
406,96.9274,96.369
407,96.9176,90.4458
408,96.7301,88.4816
409,93.8554,90.6118
410,98.9349,95.3231
411,92.6396,90.4227
412,98.1493,97.3203
413,99.2256,94.8163
414,98.6077,94.1969
