DATE,TICKER,UNIVERS,CLOSE,E_120,VAL_120,S_120,TAUX_120,ECART_S,E_20,VAL_20,TAUX_20,ENV_BAS,ENV_HAUT,LARGEUR_ENV_S,RANG,CANDIDAT,DIAGNOSTIC
2020-12-31,ACA.PA,oui,6.560339450836182,5.512237,5.996007,0.635797,0.1475,0.887599,6.645427,6.53275,-0.178479,0.289371,0.278152,4.491715,14,non,
2020-12-31,AI.PA,oui,90.15969848632812,92.070061,89.75954,2.123446,-0.042177,0.188448,90.555927,90.400026,-0.018122,1.765526,1.154334,3.990611,,non,
2020-12-31,AIR.PA,oui,82.36732482910156,68.345932,81.61233,7.161504,0.32623,0.105424,84.34623,82.055396,-0.285893,4.34855,2.848004,3.953553,4,non,
2020-12-31,ALO.PA,oui,45.444175720214844,41.29177,40.719029,3.246486,-0.023312,1.455465,44.55596,45.655328,0.259725,0.970821,0.713357,3.791575,,non,
2020-12-31,ATO.PA,oui,5464.04833984375,5190.85835,5121.519753,315.780151,-0.02245,1.084706,5453.234448,5499.643213,0.089582,122.60865,97.51488,3.738703,,non,
2020-12-31,BN.PA,oui,43.97578430175781,44.683087,41.81894,1.71428,-0.10773,1.258164,43.401549,44.606583,0.292261,0.920801,0.932137,4.198123,,non,
2020-12-31,BNP.PA,oui,29.592430114746094,25.55684,28.309461,2.649745,0.181018,0.484186,30.111097,29.507744,-0.210922,1.314153,0.848355,4.159448,10,non,
2020-12-31,CA.PA,oui,10.406219482421875,10.206575,10.281986,0.251587,0.012418,0.493798,10.193163,10.34667,0.158525,0.346538,0.325506,3.720004,31,non,
2020-12-31,CAP.PA,oui,112.70310974121094,100.567236,104.165156,4.801992,0.060128,1.778002,106.372454,111.488597,0.506279,4.105169,3.041857,3.195312,27,non,
2020-12-31,CS.PA,oui,13.66568374633789,12.24392,12.946434,1.117683,0.096431,0.643519,13.833738,13.71691,-0.088896,0.393648,0.332167,4.193299,22,non,
2020-12-31,DG.PA,oui,65.84418487548828,64.277257,66.590498,4.409273,0.060485,-0.16926,68.280971,65.881414,-0.36992,2.905963,1.212066,4.087196,26,non,
2020-12-31,DSY.PA,oui,31.936405181884766,29.898369,30.238189,0.893183,0.019102,1.901307,30.651448,32.25726,0.551468,0.38591,0.50339,3.465186,30,non,
2020-12-31,EL.PA,oui,112.67597961425781,101.938452,108.834375,4.467231,0.113694,0.859952,112.645512,113.730222,0.101362,2.292877,1.20074,3.989692,17,non,
2020-12-31,EN.PA,oui,24.681486129760742,23.188348,24.60993,1.098784,0.103035,0.065123,25.079762,24.679284,-0.168086,0.740309,0.600333,4.262102,19,non,
2020-12-31,ENGI.PA,oui,8.119553565979004,7.632375,8.021996,0.303677,0.085796,0.321253,8.132686,8.196543,0.082651,0.263407,0.189615,4.283538,25,non,
2020-12-31,ERF.PA,non,63.85929870605469,62.146429,66.23071,3.559711,0.110454,-0.666181,62.684562,66.477424,0.636917,2.618125,1.850636,4.180077,,non,
2020-12-31,GLE.PA,oui,13.330060005187988,11.163593,12.608333,1.401915,0.217505,0.514815,13.486213,13.118577,-0.286949,0.737577,0.511025,3.961063,8,non,
2020-12-31,HO.PA,oui,66.455078125,61.138007,66.364917,4.758426,0.143687,0.018948,68.045918,65.635008,-0.372954,2.198524,1.859453,3.684709,15,non,
2020-12-31,KER.PA,oui,513.4043579101562,480.587055,524.098833,24.293034,0.152166,-0.440228,495.05858,486.238607,-0.187537,21.397141,27.165751,3.525766,12,non,
2020-12-31,LR.PA,oui,65.0573501586914,62.267015,63.08056,1.933518,0.021959,1.02238,63.897905,65.909332,0.331355,0.851982,0.977404,4.075651,29,non,
2020-12-31,MC.PA,oui,460.7494812011719,388.363983,450.537123,18.380281,0.269059,0.555615,451.708516,456.683437,0.115932,10.936315,8.816982,3.454434,5,non,
2020-12-31,ML.PA,oui,21.01249885559082,19.569754,21.167978,0.784258,0.137257,-0.19825,21.268773,21.334272,0.032416,0.321773,0.551146,3.474473,16,non,
2020-12-31,MT.AS,oui,17.25130271911621,11.593658,15.814988,1.123378,0.611944,1.278567,16.720149,17.799752,0.679674,0.609828,0.816065,3.613631,1,non,
2020-12-31,OR.PA,oui,283.2889709472656,264.644626,279.75235,8.128779,0.095944,0.435074,277.988748,280.536345,0.096467,9.224659,5.208447,4.017974,23,non,
2020-12-31,ORA.PA,oui,6.7651848793029785,6.601353,6.690388,0.37152,0.022668,0.201328,6.88955,6.703527,-0.284219,0.189635,0.198267,3.704968,28,non,
2020-12-31,PUB.PA,oui,31.848487854003906,25.084984,31.359582,1.849081,0.420393,0.264405,31.839115,32.682097,0.278698,0.83361,1.064488,3.921022,3,non,
2020-12-31,RI.PA,oui,128.83212280273438,120.113233,128.052692,5.340835,0.111092,0.145938,129.651724,130.414907,0.061962,2.540474,2.544521,3.973913,18,non,
2020-12-31,RMS.PA,oui,837.1773071289062,739.655727,824.85319,23.013222,0.193589,0.535523,810.451611,835.352631,0.32342,14.530467,13.746222,3.429684,9,non,
2020-12-31,RNO.PA,oui,30.271474838256836,22.562414,28.303278,2.915527,0.427636,0.675074,30.449455,30.746431,0.102664,0.797907,0.745054,3.10232,2,non,
2020-12-31,SAF.PA,oui,110.21404266357422,96.821547,111.349168,9.286393,0.252177,-0.122235,113.146439,110.57118,-0.239583,4.298337,3.425632,3.473003,6,non,
2020-12-31,SAN.PA,oui,61.1649284362793,66.112269,62.203197,1.723718,-0.099374,-0.602342,61.811551,60.018571,-0.305339,2.849391,1.557371,3.430398,,non,
2020-12-31,SGO.PA,oui,31.71341323852539,30.540017,33.410837,1.158168,0.157986,-1.465611,32.592509,31.638268,-0.308189,0.79608,0.524231,3.497667,11,non,
2020-12-31,STLAP.PA,non,3.306720733642578,,,,,,,,,,,,,,"colonne vide : CORR_120, VAL_120, CORR_20, VAL_20"
2020-12-31,STMPA.PA,oui,28.805818557739258,26.310652,30.033882,1.476533,0.237833,-0.831721,29.212303,27.752066,-0.526179,2.106975,2.322386,3.109047,7,non,
2020-12-31,SU.PA,oui,105.90946197509766,97.544803,106.309494,2.49401,0.151013,-0.160397,104.248747,107.060511,0.283912,1.406906,1.795973,3.405794,13,non,
2020-12-31,TEP.PA,oui,225.88595581054688,219.834303,232.341043,6.241662,0.095616,-1.034194,225.761074,226.411696,0.030336,5.282363,5.981986,4.372918,24,non,
2020-12-31,TTE.PA,oui,25.083961486816406,22.824011,24.216704,2.117512,0.102553,0.409564,25.783011,25.038689,-0.303881,0.965057,0.628932,4.208677,21,non,
2020-12-31,VIE.PA,oui,15.160319328308105,14.386453,14.228761,0.777944,-0.018422,1.197462,15.04364,15.126602,0.05805,0.35595,0.350008,3.338795,,non,
2020-12-31,VIV.PA,oui,9.160684585571289,8.548177,9.071908,0.157365,0.102972,0.564141,8.972642,9.228696,0.300392,0.123754,0.224008,3.995726,20,non,
