DATE,DATE_DECISION,TICKER,SENS,QUANTITE,PRIX,BRUT,FRAIS,NET,RANG,TAUX_120,ECART_S,TAUX_20,ECART_OUVERTURE,MOTIF
2022-01-10,2022-01-07,RI.PA,ACHAT,5,170.3527,851.7634,3.5348,855.2982,5,0.1628,-2.6995,0.0388,0.2948,"clôture 169,85 € sous le bord bas 175,84 € (-2,70 s), rang 5, TAUX_120 +0,163 %/séance, TAUX_20 +0,039 %/séance"
2022-01-10,2022-01-07,EL.PA,ACHAT,6,159.467,956.802,3.9707,960.7727,8,0.148,-2.1359,0.144,1.1064,"clôture 157,72 € sous le bord bas 163,36 € (-2,14 s), rang 8, TAUX_120 +0,148 %/séance, TAUX_20 +0,144 %/séance"
2022-01-10,2022-01-07,CAP.PA,ACHAT,5,180.4263,902.1314,3.7438,905.8752,9,0.1331,-1.4634,0.1809,0.1499,"clôture 180,16 € sous le bord bas 183,51 € (-1,46 s), rang 9, TAUX_120 +0,133 %/séance, TAUX_20 +0,181 %/séance"
2022-02-14,2022-02-11,MC.PA,ACHAT,1,613.305,613.305,2.5452,615.8502,7,0.1188,-1.9222,0.2264,-1.781,"clôture 624,43 € sous le bord bas 644,56 € (-1,92 s), rang 7, TAUX_120 +0,119 %/séance, TAUX_20 +0,226 %/séance"
2022-02-18,2022-02-17,BNP.PA,ACHAT,24,44.646,1071.5044,4.4467,1075.9512,5,0.1759,-1.4227,0.1311,-0.0323,"clôture 44,66 € sous le bord bas 45,30 € (-1,42 s), rang 5, TAUX_120 +0,176 %/séance, TAUX_20 +0,131 %/séance"
2022-02-21,2022-02-18,CS.PA,ACHAT,55,20.2003,1111.0141,4.6107,1115.6248,4,0.1784,-2.2853,0.0307,0.7987,"clôture 20,04 € sous le bord bas 20,62 € (-2,29 s), rang 4, TAUX_120 +0,178 %/séance, TAUX_20 +0,031 %/séance"
2022-02-22,2022-02-21,GLE.PA,ACHAT,45,24.3969,1097.8621,4.5561,1102.4183,2,0.234,-1.9033,0.1141,-3.937,"clôture 25,40 € sous le bord bas 26,27 € (-1,90 s), rang 2, TAUX_120 +0,234 %/séance, TAUX_20 +0,114 %/séance"
2022-03-28,2022-03-25,VIE.PA,ACHAT,49,22.3775,1096.4972,4.5505,1101.0477,7,0.0488,-1.7285,0.134,0.0,"clôture 22,38 € sous le bord bas 23,52 € (-1,73 s), rang 7, TAUX_120 +0,049 %/séance, TAUX_20 +0,134 %/séance"
2022-03-30,2022-03-29,CAP.PA,VENTE,5,181.5067,907.5335,1.0437,906.4898,,-0.0808,1.2155,0.707,0.149,"clôture 181,24 € au-dessus du bord haut 179,22 € (+1,22 s)"
2022-03-30,2022-03-29,EL.PA,VENTE,6,153.1104,918.6623,1.0565,917.6059,,-0.1175,1.0568,0.9227,0.1631,"clôture 152,86 € au-dessus du bord haut 152,38 € (+1,06 s)"
2022-03-31,2022-03-30,RI.PA,VENTE,5,164.7605,823.8024,0.9474,822.855,,-0.0891,1.1719,0.3909,0.203,"clôture 164,43 € au-dessus du bord haut 163,36 € (+1,17 s)"
2022-04-07,2022-04-06,DG.PA,ACHAT,13,72.9768,948.6988,3.9371,952.6359,7,0.039,-1.8659,0.0196,1.4598,"clôture 71,93 € sous le bord bas 75,24 € (-1,87 s), rang 7, TAUX_120 +0,039 %/séance, TAUX_20 +0,020 %/séance"
2022-04-08,2022-04-07,TTE.PA,ACHAT,27,35.5284,959.2661,3.981,963.2471,4,0.1273,-1.5043,0.1479,0.8238,"clôture 35,24 € sous le bord bas 36,24 € (-1,50 s), rang 4, TAUX_120 +0,127 %/séance, TAUX_20 +0,148 %/séance"
2022-05-17,2022-05-16,TTE.PA,VENTE,27,40.8011,1101.6309,1.2669,1100.3641,5,0.0849,1.1104,0.5921,0.5608,"clôture 40,57 € au-dessus du bord haut 40,34 € (+1,11 s)"
2022-05-20,2022-05-19,CA.PA,ACHAT,68,14.8029,1006.5941,4.1774,1010.7715,2,0.2572,-2.1615,0.1859,-0.334,"clôture 14,85 € sous le bord bas 15,38 € (-2,16 s), rang 2, TAUX_120 +0,257 %/séance, TAUX_20 +0,186 %/séance"
2022-05-24,2022-05-23,BNP.PA,VENTE,24,39.573,949.7518,1.0922,948.6596,,-0.209,1.4675,0.5175,-1.7651,"clôture 40,28 € au-dessus du bord haut 38,76 € (+1,47 s)"
2022-05-24,2022-05-23,GLE.PA,VENTE,45,20.1895,908.5259,1.0448,907.4811,,-0.3406,1.0665,0.3912,-1.1553,"clôture 20,43 € au-dessus du bord haut 20,25 € (+1,07 s)"
2022-05-31,2022-05-30,MC.PA,VENTE,1,558.1204,558.1204,0.6418,557.4785,,-0.2025,1.452,0.0109,-0.5422,"clôture 561,16 € au-dessus du bord haut 549,72 € (+1,45 s)"
2022-06-06,2022-06-03,HO.PA,ACHAT,8,105.7213,845.7705,3.5099,849.2804,1,0.4974,-1.844,0.0392,0.0875,"clôture 105,63 € sous le bord bas 111,73 € (-1,84 s), rang 1, TAUX_120 +0,497 %/séance, TAUX_20 +0,039 %/séance"
2022-06-08,2022-06-07,VIE.PA,VENTE,49,21.772,1066.83,1.2269,1065.6032,,-0.2204,1.1615,0.1844,-0.0741,"clôture 21,79 € au-dessus du bord haut 21,63 € (+1,16 s)"
