DATE,ESPECES,TITRES,TOTAL,BASE100,APPARIEE100,DETENTION100,PART_INVESTIE,LIGNES_OUVERTES
2022-01-03,10000.0,0.0,10000.0,100.0,100.0,99.0181,0.0,0
2022-01-04,10000.0,0.0,10000.0,100.0,100.0,100.759,0.0,0
2022-01-05,10000.0,0.0,10000.0,100.0,100.0,101.0948,0.0,0
2022-01-06,10000.0,0.0,10000.0,100.0,100.0,100.2844,0.0,0
2022-01-07,10000.0,0.0,10000.0,100.0,100.0,100.3079,0.0,0
2022-01-10,9637.65,350.14,9987.79,99.8779,100.0,99.753,3.5057,1
2022-01-11,9637.65,361.39,9999.04,99.9904,100.0359,100.7731,3.6143,1
2022-01-12,9637.65,366.07,10003.72,100.0372,100.0719,101.7767,3.6594,1
2022-01-13,9637.65,363.19,10000.84,100.0084,100.0826,102.074,3.6316,1
2022-01-14,9637.65,357.79,9995.44,99.9544,100.0751,101.864,3.5795,1
2022-01-17,9637.65,368.06,10005.71,100.0571,100.0893,102.2673,3.6785,1
2022-01-18,9637.65,362.65,10000.3,100.003,100.0719,101.7852,3.6264,1
2022-01-19,9637.65,369.86,10007.51,100.0751,100.075,101.871,3.6958,1
2022-01-20,9637.65,372.74,10010.39,100.1039,100.0944,102.407,3.7235,1
2022-01-21,9637.65,365.89,10003.54,100.0354,100.0376,100.8464,3.6576,1
2022-01-24,9637.65,343.39,9981.04,99.8104,99.8657,96.1072,3.4404,1
2022-01-25,9637.65,339.96,9977.61,99.7761,99.8841,96.6214,3.4073,1
2022-01-26,9637.65,348.25,9985.9,99.859,99.9748,99.1984,3.4874,1
2022-01-27,9637.65,348.97,9986.62,99.8662,99.9869,99.5428,3.4944,1
2022-01-28,9637.65,347.53,9985.18,99.8518,99.9685,99.0165,3.4804,1
2022-01-31,8771.39,1226.95,9998.34,99.9834,99.9888,99.5964,12.2715,3
2022-02-01,8771.39,1259.89,10031.28,100.3128,100.2036,101.3397,12.5596,3
2022-02-02,8771.39,1262.31,10033.69,100.3369,100.1603,100.9909,12.5807,3
2022-02-03,8771.39,1238.38,10009.77,100.0977,100.0655,100.2314,12.3717,3
2022-02-04,8771.39,1213.79,9985.18,99.8518,100.042,100.0409,12.1559,3
2022-02-07,8771.39,1223.61,9995.0,99.95,100.1016,100.5315,12.2422,3
2022-02-08,8771.39,1229.49,10000.88,100.0088,100.2161,101.4704,12.2938,3
2022-02-09,8771.39,1273.03,10044.42,100.4442,100.4817,103.6579,12.674,3
2022-02-10,8771.39,1285.78,10057.17,100.5717,100.5888,104.5299,12.7847,3
2022-02-11,8771.39,1279.01,10050.4,100.504,100.4885,103.7141,12.7259,3
2022-02-14,9200.12,819.96,10020.08,100.2008,100.248,101.7643,8.1831,2
2022-02-15,9200.12,818.49,10018.61,100.1861,100.3305,102.7869,8.1697,2
2022-02-16,9200.12,813.92,10014.04,100.1404,100.3135,102.5738,8.1278,2
2022-02-17,9200.12,815.82,10015.94,100.1594,100.2695,102.0209,8.1452,2
2022-02-18,9200.12,816.58,10016.71,100.1671,100.2526,101.8093,8.1522,2
2022-02-21,8861.55,1129.03,9990.58,99.9058,100.1262,100.2343,11.301,2
2022-02-22,8861.55,1135.28,9996.82,99.9682,100.1341,100.3042,11.3564,2
2022-02-23,8861.55,1133.64,9995.19,99.9519,100.109,100.0836,11.3419,2
2022-02-24,8861.55,1081.59,9943.14,99.4314,99.628,95.8436,10.8777,2
2022-02-25,8861.55,1132.49,9994.04,99.9404,100.0513,99.587,11.3316,2
2022-02-28,7906.33,2055.37,9961.69,99.6169,99.8885,98.1572,20.6327,4
2022-03-01,7906.33,2000.05,9906.38,99.0638,98.7467,92.7191,20.1895,4
2022-03-02,7906.33,2022.37,9928.7,99.287,99.0933,94.331,20.369,4
2022-03-03,7906.33,1967.68,9874.01,98.7401,98.4089,91.1323,19.9279,4
2022-03-04,7906.33,1864.34,9770.66,97.7066,97.3742,86.3243,19.081,4
2022-03-07,4668.53,5107.38,9775.91,97.7591,96.939,84.3019,52.2445,8
2022-03-08,4668.53,5157.57,9826.11,98.2611,97.1984,84.7338,52.4885,8
2022-03-09,4668.53,5547.81,10216.34,102.1634,100.8997,90.8811,54.3033,8
2022-03-10,4668.53,5455.66,10124.2,101.242,99.9849,89.3638,53.8874,8
2022-03-11,4668.53,5541.73,10210.26,102.1026,100.8124,90.7363,54.2761,8
2022-03-14,4668.53,5581.62,10250.15,102.5015,101.3125,91.5656,54.454,8
2022-03-15,4668.53,5581.09,10249.63,102.4963,101.3064,91.5555,54.4517,8
2022-03-16,4668.53,5780.74,10449.27,104.4927,103.0511,94.4512,55.3219,8
2022-03-17,4668.53,5799.56,10468.09,104.6809,103.2022,94.7015,55.4023,8
2022-03-18,4668.53,5799.39,10467.92,104.6792,103.2213,94.7332,55.4015,8
2022-03-21,4668.53,5766.2,10434.73,104.3473,102.8496,94.1175,55.2597,8
2022-03-22,4668.53,5850.72,10519.26,105.1926,103.7068,95.537,55.6192,8
2022-03-23,4668.53,5759.17,10427.71,104.2771,102.8591,94.1328,55.2295,8
2022-03-24,4668.53,5710.4,10378.94,103.7894,102.4996,93.5372,55.0192,8
2022-03-25,4668.53,5752.16,10420.69,104.2069,102.7954,94.0279,55.1994,8
2022-03-28,4668.53,5756.85,10425.39,104.2539,102.7302,93.9197,55.2196,8
2022-03-29,4668.53,5920.28,10588.82,105.8882,104.4261,96.7276,55.9107,8
2022-03-30,4668.53,5863.98,10532.52,105.3252,103.8937,95.8455,55.675,8
2022-03-31,4668.53,5773.73,10442.26,104.4226,103.1657,94.6393,55.2919,8
2022-04-01,4668.53,5768.82,10437.35,104.3735,103.1329,94.5848,55.2709,8
2022-04-04,5392.65,5057.94,10450.58,104.5058,103.3352,94.9206,48.3986,7
2022-04-05,5392.65,4948.67,10341.32,103.4132,102.2922,92.9409,47.8534,7
2022-04-06,5392.65,4841.44,10234.09,102.3409,101.2405,90.9442,47.307,7
2022-04-07,5392.65,4798.49,10191.13,101.9113,100.828,90.1609,47.0849,7
2022-04-08,5392.65,4873.09,10265.74,102.6574,101.3591,91.1695,47.4695,7
2022-04-11,5392.65,4896.23,10288.88,102.8888,101.5253,91.4844,47.5876,7
2022-04-12,5392.65,4888.43,10281.08,102.8108,101.4966,91.43,47.5479,7
2022-04-13,5392.65,4923.72,10316.37,103.1637,101.6721,91.7625,47.7273,7
