TICKER,NOM,DEVISE,SECTEUR,TYPE,DATE,COURS,PER,PER_PREV,P_B,VE_EBITDA,REND_FCF,ROE,MARGE_BRUTE,MARGE_OP,MARGE_NETTE,DETTE_EBITDA,CAPI,VE,EBITDA,DETTE,FCF,ACTIONS,FLOTTANT,FLOTTANT_PCT,BID,ASK,BID_TAILLE,ASK_TAILLE,SPREAD,SPREAD_PCT,VOLUME,VOLUME_MOY_3M
AIR.PA,AIRBUS SE,EUR,Industrials,EQUITY,2026-08-30,203.0500,27.04,23.31,6.21,17.99,1.95,23.19,16.31,11.36,7.71,1.59,160710115328,161945108480,9004000256,14275999744,3128750080,791480489,588339107,74.33,,,,,,,752184,1042192
MC.PA,LVMH,EUR,Consumer Cyclical,EQUITY,2026-08-30,458.1500,20.90,18.00,3.32,12.59,5.11,16.59,66.36,22.52,13.66,1.85,225852014592,252449406976,20053999616,37150998528,11537125376,492965227,241746827,49.04,,,,,,,467296,531202
